jobsCd,jobsNm,superCd,depth
01,경영·사무·금융·보험,,1
011,행정·경영·금융·보험 관리직,01,2
011100,의회 의원,011,3
011200,고위 공무원 및 정당‧특수 단체 임원,011,3
011300,기업 대표 및 기업 고위 임원,011,3
012100,정부 행정 관리자,011,3
012200,경영지원 관리자,011,3
012201,경영기획 부서장,011,3
012202,인사·노무·교육·총무·감사 부서장,011,3
012203,자재·구매 부서장,011,3
012204,재무·회계·경리 부서장,011,3
012205,기타 경영지원 서비스 관리자,011,3
012300,마케팅 및 광고‧홍보 관리자(부서장),011,3
012400,금융 및 보험 관리자(부서장),011,3
012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,01,2
013100,연구 관리자(부서장),012,3
013200,교육 관리자(부서장),012,3
013300,법률‧경찰‧소방 및 교도 관리자,012,3
013400,보건 의료 관련 관리자(부서장),012,3
013500,사회복지 관련 관리자(부서장),012,3
013600,문화‧예술 관련 관리자(부서장),012,3
013700,정보 통신 관련 관리자(부서장),012,3
013900,기타 전문 서비스 관리자,012,3
013901,부동산·임대업 관리자,012,3
013902,아파트 관리소장,012,3
013903,빌딩 관리소장,012,3
013904,"조사, 인력공급·알선 및 기타 전문서비스 관리자(부서장)",012,3
013,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,01,2
014100,숙박·여행·오락 및 스포츠 관련 관리자,013,3
014101,미용·여행·숙박·오락 서비스 관리자,013,3
014102,스포츠 관리자,013,3
014200,음식 서비스 관련 관리자,013,3
014300,환경·청소 및 경비 관련 관리자,013,3
014301,경비 관리자,013,3
014302,환경·청소 관리자,013,3
015100,영업 및 판매 관련 관리자,013,3
015101,영업 관리자(영업소장·지점장),013,3
015102,판매 관리자(소규모 판매점장 제외),013,3
015200,운송 관련 관리자(부서장),013,3
015900,기타 판매 및 고객 서비스 관리자,013,3
014,건설·채굴·제조·생산 관리직,01,2
016100,건설 및 광업 관련 관리자(부서장),014,3
016200,전기·가스 및 수도 관련 관리자(부서장),014,3
016300,제품 생산 관련 관리자,014,3
016301,기계·금속·비금속 제조 관리자(공장장),014,3
016302,화학 제조 관리자(공장장),014,3
016303,섬유·의류 제조 관리자(공장장),014,3
016304,전기·전자 제조 관리자(공장장),014,3
016305,식품가공 제조 관리자(공장장),014,3
016306,기타 제품 제조 관리자(공장장),014,3
016900,기타 건설·전기 및 생산 관련 관리자,014,3
016901,수리·정비 관리자(부서장),014,3
016902,농림어업 및 기타 생산 관리자,014,3
015,행정·경영·회계·광고·상품기획 전문가,01,2
021100,정부 행정 전문가,015,3
021200,행정사,015,3
022100,"경영 및 진단 전문가(경영 컨설턴트, M&A·창업·인증심사·FTA)",015,3
022201,인사·노무 전문가,015,3
022202,HRD·교육·훈련 전문가,015,3
023100,회계사,015,3
023200,세무사,015,3
023301,관세사,015,3
023302,FTA 원산지관리사,015,3
023400,감정 관련 전문가,015,3
023401,감정평가사,015,3
023402,감정사(문화재·보석·문서·음식료품 및 조향사),015,3
024101,광고·홍보 전문가,015,3
024102,마케팅 전문가,015,3
024200,조사 전문가,015,3
024301,상품 기획자,015,3
024302,머천다이저(MD),015,3
024400,행사·전시 및 회의 기획자,015,3
024401,행사·이벤트 기획자,015,3
024402,전시·회의 기획자,015,3
231400,직업 관련 상담사,015,3
016,정부 행정 사무,01,2
025100,조세 행정 사무원,016,3
025200,관세 행정 사무원,016,3
025300,병무 행정 사무원,016,3
025900,기타 정부 행정 사무원,016,3
025901,국가·지방행정 사무원,016,3
025902,군무원,016,3
026501,총무 및 일반 사무원,016,3
017,경영지원 사무,01,2
026100,경영 기획 사무원,017,3
026200,영업 및 마케팅 사무원,017,3
026201,마케팅·광고·홍보·상품기획 사무원,017,3
026202,영업 기획·관리·지원 사무원,017,3
026203,분양·임대 사무원,017,3
026300,인사 및 노무 사무원,017,3
026301,인사 사무원,017,3
