사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
나라일터,인천광역시교육청 인하대학교사범대학부속고등학교,2026학년도 2학기 기간제교원(역사) 채용 공고,일반채용,,공무원·공공,,,2026-09-11,https://www.gojobs.go.kr/apmView.do?empmnsn=303049&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:11
나라일터,전북특별자치도 임실군 의회사무과,2026년 제2회 임실군의회 임기제공무원(정책지원관) 채용시험 계획 공고,일반채용,,공무원·공공,,,2026-09-18,https://www.gojobs.go.kr/apmView.do?empmnsn=303044&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:11
나라일터,경상국립대학교 창업지원단 창업중심대학사업단,경상국립대학교 창업중심대학사업단 직원((선임)매니저) 채용 공고(~9.15.(화) 16시 마감),일반채용,,공무원·공공,,,2026-09-15,https://www.gojobs.go.kr/apmView.do?empmnsn=303040&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:11
나라일터,국립경국대학교,국립경국대학교 평생교육원(안동) 종합스포츠센터 정규직(무기계약직) 직원  채용,일반채용,,공무원·공공,,,2026-09-14,https://www.gojobs.go.kr/apmView.do?empmnsn=258531&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:11
나라일터,한국전력기술(주),2026년도 하반기 정규직(신입사원) 채용공고,일반채용,,공무원·공공,,,2026-09-22,https://www.gojobs.go.kr/apmView.do?empmnsn=303052&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:11
나라일터,진실화해를위한과거사정리위원회,진실화해를위한과거사정리위원회 제7차 기간제 근로자 채용 공고,일반채용,,공무원·공공,,,2026-09-14,https://www.gojobs.go.kr/apmView.do?empmnsn=303050&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:11
나라일터,국회 국회입법조사처,2026년도 제8회 국회입법조사처 공무원(일반임기제 5급) 채용 변경공고,일반채용,,공무원·공공,,,2026-09-14,https://www.gojobs.go.kr/apmView.do?empmnsn=303048&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:11
나라일터,기획예산처,기획예산처 기간제 근로자(사무원) 서류합격자 공고_국고보조금관리단,일반채용,,공무원·공공,,,2026-09-07,https://www.gojobs.go.kr/apmView.do?empmnsn=303047&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:11
나라일터,국립중앙청소년디딤센터,2026년 국립중앙청소년디딤센터 직원 채용,일반채용,,공무원·공공,,,2026-09-21,https://www.gojobs.go.kr/apmView.do?empmnsn=303045&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:11
나라일터,충청북도,2026년도 제1회 충청북도 개방형직위 보건환경연구원장 임용시험 시행계획 재공고,일반채용,,공무원·공공,,,2026-09-21,https://www.gojobs.go.kr/apmView.do?empmnsn=303043&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:13
나라일터,국방부 국군조직 육군 육군본부,육군 황산대체력단련장 공무직근로자(프론트/여자락카담당) 채용 공고,일반채용,,공무원·공공,,,2026-09-16,https://www.gojobs.go.kr/apmView.do?empmnsn=303042&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:13
나라일터,농림축산식품부 국립농산물품질관리원 충남지원,"[충남지원, 대전] 농지조사원 기간제근로자 채용 공고(국립농산물품질관리원)",일반채용,,공무원·공공,,,2026-09-10,https://www.gojobs.go.kr/apmView.do?empmnsn=303041&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:13
나라일터,경기도교육청 숭신고등학교,2026학년도 숭신고등학교 시간강사 채용 공고(지리),일반채용,,공무원·공공,,,2026-09-11,https://www.gojobs.go.kr/apmView.do?empmnsn=303039&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:13
나라일터,법무부 화성외국인보호소,[화성외국인보호소]2026년도 제12회 공무직근로자(조리원) 채용 재공고<2차>,일반채용,,공무원·공공,,,2026-09-16,https://www.gojobs.go.kr/apmView.do?empmnsn=303038&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:13
나라일터,인천광역시교육청 인천진산과학고등학교,인천진산과학고등학교 기간제 교사(생명과학 1명) 채용 공고,일반채용,,공무원·공공,,,2026-09-09,https://www.gojobs.go.kr/apmView.do?empmnsn=303036&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:13
나라일터,인천광역시교육청 인천광역시서부교육지원청 신현여자중학교,2026학년도 신현여자중학교 계약제교원(역사) 채용 공고,일반채용,,공무원·공공,,,2026-09-10,https://www.gojobs.go.kr/apmView.do?empmnsn=303035&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:13
나라일터,서울특별시교육청 서울특별시강서양천교육지원청,[서울특별시강서양천교육지원청] 2026년 9월 지방공무원[행정·시설관리] 대체 인력풀 모집 공고,일반채용,,공무원·공공,,,2026-09-18,https://www.gojobs.go.kr/apmView.do?empmnsn=303033&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:13
나라일터,서울특별시교육청 서울특별시강서양천교육지원청,[서울특별시강서양천교육지원청] 2026년 9월 교원 결원대체 시간강사 인력풀 모집 공고,일반채용,,공무원·공공,,,2026-09-18,https://www.gojobs.go.kr/apmView.do?empmnsn=303032&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:13
나라일터,경찰청 충청남도경찰청 아산경찰서,아산경찰서 후생복지회(기간제 조리원) 채용 공고,일반채용,,공무원·공공,,,2026-09-21,https://www.gojobs.go.kr/apmView.do?empmnsn=303031&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:13
나라일터,서울특별시 금천구,"서울특별시 금천구 시간선택제임기제(마급, 기업체 교통수요관리) 공무원 경력경쟁임용시험 시행계획 공고",일반채용,,공무원·공공,,,2026-09-11,https://www.gojobs.go.kr/apmView.do?empmnsn=303030&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:15
나라일터,과학기술정보통신부 우정사업본부 전남지방우정청 완도우체국,"2026년 제2회 완도우체국 상시계약집배원(공무직) 서류전형 합격자 발표 및 실기, 면접시험 일정 알림",일반채용,,공무원·공공,,,2026-09-08,https://www.gojobs.go.kr/apmView.do?empmnsn=303028&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:15
나라일터,교육부 국립국제교육원,한국어능력시험(PBT) 국외 시행 지원 행정인턴 채용 공고,일반채용,,공무원·공공,,,2026-09-16,https://www.gojobs.go.kr/apmView.do?empmnsn=303027&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:15
나라일터,인천광역시교육청 부평공업고등학교,부평공업고등학교 시간강사(진로진학) 선발 2차 공고 - 자격확대,일반채용,,공무원·공공,,,2026-09-09,https://www.gojobs.go.kr/apmView.do?empmnsn=303026&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:15
나라일터,관세청 김해공항세관,2026년 제2회 김해공항세관 공무직 근로자(조리원) 채용시험 최종합격자 발표 일정 변경 안내,일반채용,,공무원·공공,,,2026-09-08,https://www.gojobs.go.kr/apmView.do?empmnsn=303025&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:15
나라일터,인천광역시교육청 인천광역시동부교육지원청 간석여자중학교,2026학년도 기간제교원(전문상담) 채용 공고,일반채용,,공무원·공공,,,2026-09-10,https://www.gojobs.go.kr/apmView.do?empmnsn=303024&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:15
나라일터,국가데이터처 동북지방통계청 원주사무소,[국가데이터처 원주]2026년 하반기 지역별고용조사 도급조사원 모집 공고,일반채용,,공무원·공공,,,2026-09-16,https://www.gojobs.go.kr/apmView.do?empmnsn=303023&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:15
나라일터,국가데이터처 동북지방통계청 원주사무소,[국가데이터처 원주]2026년 하반기 지역별고용조사 기간제근로자 채용 공고,일반채용,,공무원·공공,,,2026-09-16,https://www.gojobs.go.kr/apmView.do?empmnsn=303022&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:15
나라일터,한국개발연구원,KDI 초빙연구위원 채용 공고,일반채용,,공무원·공공,,,2026-09-21,https://www.gojobs.go.kr/apmView.do?empmnsn=303021&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:15
나라일터,한국교통안전공단,"한국교통안전공단 2026년 제4차 기간제근로자 통합채용(청년인턴, 실무원, 위촉연구원 등)",일반채용,,공무원·공공,,,2026-09-22,https://www.gojobs.go.kr/apmView.do?empmnsn=303020&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:15
나라일터,인천광역시교육청 인천광역시강화교육지원청 강남중학교,2026학년도 강남중학교 계약제(시간강사)교원 채용 공고(수학),일반채용,,공무원·공공,,,2026-09-14,https://www.gojobs.go.kr/apmView.do?empmnsn=303019&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:18
나라일터,보건복지부 기획조정실 보건복지상담센터,"<2026년  보건복지상담센터(129, 109) 상담사(공무직) 채용공고>",일반채용,,공무원·공공,,,2026-09-18,https://www.gojobs.go.kr/apmView.do?empmnsn=303018&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:18
나라일터,재단법인한국보건의료정보원,2026년 제5차 직원채용 공고,일반채용,,공무원·공공,,,2026-09-21,https://www.gojobs.go.kr/apmView.do?empmnsn=303017&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:18
나라일터,인천광역시교육청 대인고등학교,"2027년 대인고등학교 정교사 채용 공고(수학, 도덕·윤리, 물리, 정보·컴퓨터)",일반채용,,공무원·공공,,,2026-10-16,https://www.gojobs.go.kr/apmView.do?empmnsn=303016&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:18
나라일터,인천광역시교육청 인천광역시서부교육지원청 인천단봉중학교,2026학년도 두드림학교강사 위촉 공고문,일반채용,,공무원·공공,,,2026-09-11,https://www.gojobs.go.kr/apmView.do?empmnsn=303015&searchJobsecode=020&menuNo=401,,2026-09-08 03:18:18
