공고URL,모집분야,직무키워드,담당업무,자격요건,우대사항,직급직책,근무형태,근무시간,급여,업종,직종,상세주소,모집인원,학력,수집시각
https://www.gojobs.go.kr/apmView.do?empmnsn=303051&searchJobsecode=020&menuNo=401,"부산광역시 개방형직위(감사위원장) ○ 선발직급 : 지방부이사관(3급 상당, 일반직 또는 일반임기제) ○",,,[붙임] 공고문 참고 ○,,,,,,,,,,,2026-09-08 13:48:24
https://www.gojobs.go.kr/apmView.do?empmnsn=303004&searchJobsecode=020&menuNo=401,,,,채용공고문 참고 ○ 2차,,,,,,,,,,,2026-09-08 13:48:24
https://www.gojobs.go.kr/apmView.do?empmnsn=302840&searchJobsecode=020&menuNo=401,,,,의사면허 취득 후 2년 이상 관련분야 실무경력이 있는 자 ○,,,,,,,,,,,2026-09-08 13:48:25
https://www.gojobs.go.kr/apmView.do?empmnsn=302736&searchJobsecode=020&menuNo=401,[금정산] 2026년 국립공원지킴이(녹색순찰대) 모집 공고(부산광역시) ○ 고용형태 : 기간제 ○,,,,,,기간제 ○,,,,,,,,2026-09-08 13:48:26
https://www.gojobs.go.kr/apmView.do?empmnsn=302735&searchJobsecode=020&menuNo=401,간호사(치매안심센터) 1명 ○ 선발직급 : 시간선택제임기제 마급 ○ 고용형태 : 임기제 ○,,,,,,임기제 ○,,,,,,,,2026-09-08 13:48:26
https://www.gojobs.go.kr/apmView.do?empmnsn=302729&searchJobsecode=020&menuNo=401,기계 ○ 선발직급 :공무직 근로자(시설관리원-기계) ○ 고용형태 : 공무직 ○,,,"자격증(해당 분야의 기능사 이상 자격증 소지자, 붙임 직무기술서 참조) ○",,,공무직 ○,,,,,,,,2026-09-08 13:48:26
https://www.gojobs.go.kr/apmView.do?empmnsn=302623&searchJobsecode=020&menuNo=401,부산대학교 학생성공개발원 대학일자리플러스센터 사무원 ㅇ,,,,,,,,,,,,,,2026-09-08 13:48:27
https://www.gojobs.go.kr/apmView.do?empmnsn=302608&searchJobsecode=020&menuNo=401,정신건강임상심리사 ○ 고용형태: 기간제근로자(대체인력) ○,,,정신건강임상심리사 2급 이상 ○,,,기간제근로자(대체인력) ○,,,,,,,,2026-09-08 13:48:27
https://www.gojobs.go.kr/apmView.do?empmnsn=302568&searchJobsecode=020&menuNo=401,,,,,,,,"(격일제) 평일16:30~08:30, 주말08:30~08:30 4. 원서",,,,,,,2026-09-08 13:48:28
https://www.gojobs.go.kr/apmView.do?empmnsn=302565&searchJobsecode=020&menuNo=401,,,,,,,,"(격일제) 평일16:20~08:20, 주말08:20~08:20 4. 원서",,,,,,,2026-09-08 13:48:28
https://www.gojobs.go.kr/apmView.do?empmnsn=302563&searchJobsecode=020&menuNo=401,,,,,,,,"(격일제) 평일16:20~08:20, 주말08:20~08:20 4. 원서",,,,,,,2026-09-08 13:48:28
https://www.gojobs.go.kr/apmView.do?empmnsn=302511&searchJobsecode=020&menuNo=401,영양사 -고용형태: 기간제근로자(단시간) -보수: 26년 최저임금 기준(근로기준법에 의함) -,,,"영양사 자격증(필수), 조리기능사 자격증(필수) -",,,기간제근로자(단시간) -보수: 26년 최저임금 기준(근로기준법에 의함) -,,기준(근로기준법에 의함) -,,,,,,2026-09-08 13:48:29
https://www.gojobs.go.kr/apmView.do?empmnsn=302008&searchJobsecode=020&menuNo=401,,,,"자격증, 면허증, 영어능력검정시험 성적 등 ○",,,정규직 ○,,,,,,,,2026-09-08 13:48:31
https://www.gojobs.go.kr/apmView.do?empmnsn=302006&searchJobsecode=020&menuNo=401,간호직(간호사) ○ 선발직급 : 간호5급 ○ 고용형태 : 정규직 ○,,,"1. 간호사 면허증 소지자 또는 2027년도 간호사 면허증 취득예정자 2. 영어능력검정시험 성적 소지자(TOEIC 700점 이상, TOEIC Speaking 120점(Intermediate Mid 2) 이상, TOEFL-IBT 79점 이상, NEW TEPS 300점 이상) 3. 공인심폐소생술 자격증 소지자(BLS, ACLS,KALS,PALS,KBLS 중 택1) ※ 2026.09.28.(1차 서류검증기간) 기준 유효한 자격증 소지자 ※ 응급의료 체계의 일관성 및 국제 심폐소생술 가이드라인 준수를 위해 대한심폐소생협회(KACPR) 또는 미국심장협회(AHA)에서 발급한 자격증에 한함. 4. 야간 및 교대근무 가능자 ○",,,정규직 ○,,,,,,,,2026-09-08 13:48:31
https://www.gojobs.go.kr/apmView.do?empmnsn=301909&searchJobsecode=020&menuNo=401,보건소 진료의사 ○ 선발직급 : 지방의무사무관(일반임기제) ○ 고용형태 : 임기제 ○,,,자격증 + 경력 ○,,,임기제 ○,,,,,,,,2026-09-08 13:48:32
