사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
링커리어,글라우드,[글라우드] 소형전자기기H/W 개발자,IT/개발 > 전체,NORMAL,NORMAL,서울,,2026-10-07,https://linkareer.com/activity/348757,,2026-09-07 20:24:13
링커리어,인코스 파트너스,[인코스 파트너스] CJ ENM 엠넷플러스 콘텐츠 디자인 채용,디자인 > 그래픽/시각디자인,NORMAL,NORMAL,서울,,2026-09-13,https://linkareer.com/activity/348753,,2026-09-07 20:24:13
링커리어,버킷플레이스(오늘의집),[버킷플레이스(오늘의집)] Junior Business Partnership Manager (전환형),"영업/CS > B2B영업, 영업/CS > 기술영업, 영업/CS > 영업관리/기획",NORMAL,NORMAL,서울,,2026-09-23,https://linkareer.com/activity/348751,,2026-09-07 20:24:13
링커리어,글라우드,"[글라우드] 사업기획 / 사업전략 경력 모집 (팀장, 팀원)",기획/경영 > 전체,NORMAL,NORMAL,서울,,2026-10-07,https://linkareer.com/activity/348750,,2026-09-07 20:24:13
링커리어,더파운더즈,[ANUA] 북미 인플루언서 마케팅 매니저 (US),"마케팅/광고 > 마케팅기획/전략, 마케팅/광고 > 브랜드마케팅, 마케팅/광고 > 디지털/퍼포먼스마케팅, 마케팅/광고 > SNS/콘텐츠마케팅, 마케팅/광고 > 시장조사/리서치",ASAP,ASAP,서울,,2026-12-06,https://linkareer.com/activity/348745,,2026-09-07 20:24:13
링커리어,주식회사 더파운더즈,[ANUA] 북미 인플루언서 마케팅 전환형 인턴,"마케팅/광고 > 마케팅기획/전략, 마케팅/광고 > 브랜드마케팅, 마케팅/광고 > 디지털/퍼포먼스마케팅, 마케팅/광고 > SNS/콘텐츠마케팅, 마케팅/광고 > 시장조사/리서치",ASAP,ASAP,서울,,2026-12-06,https://linkareer.com/activity/348743,,2026-09-07 20:24:13
링커리어,스푼랩스,[Vigloo] 퍼포먼스 마케팅 어시스턴트 (1년 계약직),"마케팅/광고 > 디지털/퍼포먼스마케팅, 마케팅/광고 > 시장조사/리서치",ASAP,ASAP,서울,,2026-12-06,https://linkareer.com/activity/348741,,2026-09-07 20:24:13
링커리어,SK AX 애커튼파트너스,[SK AX 애커튼파트너스] Cyber Security 컨설턴트 (인턴),"기획/경영 > 경영분석/컨설팅, 마케팅/광고 > 전체, IT/개발 > 전체, 금융 > IB/M&A, 건설 > 부동산/분양/중개, 의료/바이오 > 전체, 기타 > 전체",NORMAL,NORMAL,서울,,2026-09-20,https://linkareer.com/activity/348739,,2026-09-07 20:24:13
링커리어,한화오션,[한화오션] [경영지원] 법무 경력사원(국제 변호사) 채용,기획/경영 > 총무/법무/비서,NORMAL,NORMAL,서울,,2026-12-31,https://linkareer.com/activity/348734,,2026-09-07 20:24:13
링커리어,주식회사 컬리,커머스사업 B2G 운영지원 담당자 (계약직),영업/CS > 전체,ASAP,ASAP,서울,,2026-12-06,https://linkareer.com/activity/348733,,2026-09-07 20:24:13
링커리어,세스코,[세스코] 케미컬 품질관리,생산/제조 > 품질관리(QC/QA),NORMAL,NORMAL,충청,,2026-09-18,https://linkareer.com/activity/348732,,2026-09-07 20:24:13
링커리어,나이스디앤비,[나이스디앤비] 통합지원센터 접수 부문 인재 영입 (단기 2개월),"기획/경영 > 총무/법무/비서, 기획/경영 > 사무/문서관리, 영업/CS > 고객상담/CS",NORMAL,NORMAL,서울,,2026-09-13,https://linkareer.com/activity/348731,,2026-09-07 20:24:13
링커리어,(주)안다르,andar 프리랜서 남자 국내 피팅(웨어링)모델 채용,기타 > 전체,NORMAL,NORMAL,서울,,2026-09-20,https://linkareer.com/activity/348730,,2026-09-07 20:24:13
링커리어,주식회사 더파운더즈,[ANUA] 프로덕트팀 상품기획 단기인턴,물류/유통 > MD/상품기획,ASAP,ASAP,서울,,2026-12-06,https://linkareer.com/activity/348728,,2026-09-07 20:24:13
링커리어,글라우드,[글라우드] 저스트스캔 서비스운영(대구),기획/경영 > 전체,NORMAL,NORMAL,대구,,2026-10-07,https://linkareer.com/activity/348727,,2026-09-07 20:24:13
링커리어,어센트AI,[어센트AI] 마케팅 전략 컨설턴트_신입,마케팅/광고 > 전체,ASAP,ASAP,서울,,2026-12-06,https://linkareer.com/activity/348726,,2026-09-07 20:24:13
링커리어,글라우드,[글라우드] 영상 촬영·편집 담당,미디어/콘텐츠 > 전체,NORMAL,NORMAL,서울,,2026-10-07,https://linkareer.com/activity/348724,,2026-09-07 20:24:13
링커리어,엘앤에프,[엘앤에프] HR부문 인사운영팀 기간제 근로자 채용,기획/경영 > 인사/채용/노무,NORMAL,NORMAL,대구,,2026-09-13,https://linkareer.com/activity/348720,,2026-09-07 20:24:13
링커리어,(주)삼구아이앤씨,신세계톰보이 STUDIO TOMBOY 상품기획팀 사무보조 인턴 모집공고,"기획/경영 > 사무/문서관리, 마케팅/광고 > 전체, 물류/유통 > MD/상품기획",NORMAL,NORMAL,서울,,2026-09-30,https://linkareer.com/activity/348717,,2026-09-07 20:24:13
링커리어,대구국제개발협력센터,[대구국제개발협력센터] 2026년도 하반기 개발협력 영프로페셔널(YP) 모집,기타 > 전체,NORMAL,NORMAL,대구,,2026-10-11,https://linkareer.com/activity/348713,,2026-09-07 20:24:13
링커리어,주식회사 에이피알,[에이피알] 2026 하반기 신입 대규모 채용,"기획/경영 > 전체, 마케팅/광고 > 전체, IT/개발 > 전체, 디자인 > 전체, 영업/CS > 전체, 생산/제조 > 전체",NORMAL,NORMAL,서울,,2026-09-20,https://linkareer.com/activity/346844,,2026-09-07 20:24:13
링커리어,한화생명,2026 한화금융 신입공채,"기획/경영 > 경영기획/전략, 기획/경영 > 사업기획/신규사업, 기획/경영 > 서비스기획/운영, 마케팅/광고 > 마케팅기획/전략, 마케팅/광고 > 브랜드마케팅, 마케팅/광고 > 디지털/퍼포먼스마케팅, 마케팅/광고 > SNS/콘텐츠마케팅, 마케팅/광고 > 광고기획/AE,",NORMAL,NORMAL,서울,,2026-09-18,https://linkareer.com/activity/344479,,2026-09-07 20:24:13
링커리어,IBK기업은행,[IBK기업은행] 2026년 하반기 신입행원 채용,"IT/개발 > 전체, IT/개발 > 데이터분석, 금융 > 전체",NORMAL,NORMAL,서울,,2026-09-14,https://linkareer.com/activity/346537,,2026-09-07 20:24:13
링커리어,롯데백화점,[롯데백화점] 2026년 9월 신입사원 채용 (일반전형),영업/CS > 전체,NORMAL,NORMAL,"서울, 부산, 대전, 경기",,2026-09-10,https://linkareer.com/activity/346291,,2026-09-07 20:24:13
링커리어,글라우드,[글라우드] 치과 의료용 솔루션 구매 및 생산관리 (팀원),물류/유통 > 전체,NORMAL,NORMAL,서울,,2026-10-07,https://linkareer.com/activity/348706,,2026-09-07 20:24:14
링커리어,중앙대학교병원,[중앙대학교병원] (서울병원) 보험심사팀 행정(휴직대체) 모집 (2026.09),기획/경영 > 전체,NORMAL,NORMAL,서울,,2026-09-13,https://linkareer.com/activity/348701,,2026-09-07 20:24:14
링커리어,광주글로벌모터스,[광주글로벌모터스] 계약직 채용 공고 (생산관리),생산/제조 > 생산/공정관리,ASAP,ASAP,,,2026-12-06,https://linkareer.com/activity/348700,,2026-09-07 20:24:14
링커리어,HSAD,[HSAD] 2026년 하반기 신입사원 채용,"기획/경영 > 전체, 마케팅/광고 > 전체, 미디어/콘텐츠 > 전체",NORMAL,NORMAL,서울,,2026-09-21,https://linkareer.com/activity/348697,,2026-09-07 20:24:14
링커리어,광주글로벌모터스,[광주글로벌모터스] 26년 2차 상생인재(일반직 신입사원) 채용공고,"생산/제조 > 환경/안전관리, 의료/바이오 > 간호사/간호조무사",NORMAL,NORMAL,,,2026-09-21,https://linkareer.com/activity/348696,,2026-09-07 20:24:14
링커리어,풀무원,[풀무원] 리빙케어사업본부 가전개발팀 가전제품 SVC 담당,영업/CS > 전체,NORMAL,NORMAL,서울,,2026-09-20,https://linkareer.com/activity/348690,,2026-09-07 20:24:14
링커리어,동아제약,[동아제약] 당진공장 품질보증(QA) 신입/경력 채용,"생산/제조 > 품질관리(QC/QA), 연구/R&D > 바이오/제약연구개발",NORMAL,NORMAL,충청,,2026-09-13,https://linkareer.com/activity/348688,,2026-09-07 20:24:14
링커리어,현대자동차,[현대자동차] [계약직] 울산공장 영상 크리에이터,"미디어/콘텐츠 > PD/연출/방송제작, 미디어/콘텐츠 > 영상촬영/편집",NORMAL,NORMAL,울산,,2026-09-13,https://linkareer.com/activity/348685,,2026-09-07 20:24:14
링커리어,잡플래닛,[잡플래닛] Talent Acquisition 담당자 (1년 계약직),기획/경영 > 전체,ASAP,ASAP,서울,,2026-12-06,https://linkareer.com/activity/348683,,2026-09-07 20:24:14
링커리어,잡플래닛,[잡플래닛] Sales Manager (4~7년),영업/CS > 전체,NORMAL,NORMAL,서울,,2026-10-07,https://linkareer.com/activity/348680,,2026-09-07 20:24:14
링커리어,LX글라스,[LX글라스] 연구소 제품솔루션개발팀 계약직 채용,"생산/제조 > 생산/공정관리, 생산/제조 > 생산직/조립/가공, 연구/R&D > 화학/에너지/환경",NORMAL,NORMAL,전라,,2026-09-20,https://linkareer.com/activity/348678,,2026-09-07 20:24:14
링커리어,잡플래닛,[잡플래닛] Product Owner(7년 이상),기획/경영 > 전체,NORMAL,NORMAL,서울,,2026-10-07,https://linkareer.com/activity/348677,,2026-09-07 20:24:14
링커리어,스쿨(IMT Group),[기부&소셜 플랫폼] 함께하실 UI디자이너님을 찾습니다,"디자인 > UI/UX디자인, 디자인 > 그래픽/시각디자인",ASAP,ASAP,서울,,2026-12-06,https://linkareer.com/activity/348675,,2026-09-07 20:24:14
링커리어,라라스윗,[라라스윗] 그로스 마케팅 인턴십 12기 (채용전환형),"마케팅/광고 > 마케팅기획/전략, 마케팅/광고 > 디지털/퍼포먼스마케팅, 마케팅/광고 > SNS/콘텐츠마케팅",NORMAL,NORMAL,서울,,2026-09-20,https://linkareer.com/activity/348672,,2026-09-07 20:24:14
링커리어,한국희망재단,[한국희망재단] 2026-2027 하반기 KOICA 개발협력 영프로페셔널(YP) 모집(~10/7),"기획/경영 > 경영기획/전략, 기획/경영 > 사업기획/신규사업, 마케팅/광고 > 디지털/퍼포먼스마케팅, 마케팅/광고 > SNS/콘텐츠마케팅",NORMAL,NORMAL,서울,,2026-10-07,https://linkareer.com/activity/348671,,2026-09-07 20:24:14
링커리어,케이에스시스템,[케이에스시스템] 광교하우스 전장설계부문 모집,"생산/제조 > 전체, 연구/R&D > 전체",ASAP,ASAP,경기,,2026-11-29,https://linkareer.com/activity/348670,,2026-09-07 20:24:14
링커리어,한화솔루션,[한화솔루션] [큐셀] 생성형 AI 애플리케이션 엔지니어 채용,"IT/개발 > 시스템/ERP개발, IT/개발 > AI/ML엔지니어",NORMAL,NORMAL,서울,,2026-09-28,https://linkareer.com/activity/348669,,2026-09-07 20:24:14
링커리어,(주)인플루디오,[포카스팟] 일본어 콘텐츠 마케팅 인턴 파트타임 (최대 3개월),미디어/콘텐츠 > 전체,ASAP,ASAP,서울,,2026-12-06,https://linkareer.com/activity/348668,,2026-09-07 20:24:14
링커리어,케이에스시스템,[케이에스시스템] 해외영업(방산) 담당자 채용,영업/CS > 전체,ASAP,ASAP,경기,,2026-11-23,https://linkareer.com/activity/348667,,2026-09-07 20:24:14
링커리어,케이에스시스템,[케이에스시스템] 개발품질 및 품질관리 담당자 채용,생산/제조 > 전체,NORMAL,NORMAL,경기,,2026-09-30,https://linkareer.com/activity/348666,,2026-09-07 20:24:14
링커리어,한화솔루션,[한화솔루션] [큐셀] 데이터 엔지니어 채용,IT/개발 > 데이터분석,NORMAL,NORMAL,서울,,2026-09-28,https://linkareer.com/activity/348665,,2026-09-07 20:24:16
링커리어,케이에스시스템,[케이에스시스템] 구매실 담당자 채용,물류/유통 > 전체,ASAP,ASAP,경기,,2026-12-06,https://linkareer.com/activity/348662,,2026-09-07 20:24:16
링커리어,데이원컴퍼니,[패스트캠퍼스 B2G][전환형 인턴] 교육 운영 매니저 (13:30~22:30),교육 > 학원운영/교육상담,ASAP,ASAP,서울,,2026-12-06,https://linkareer.com/activity/348660,,2026-09-07 20:24:16
링커리어,한화솔루션,[한화솔루션] [큐셀] AI 플랫폼 엔지니어 채용,"IT/개발 > 백엔드/서버개발, IT/개발 > 시스템/ERP개발, IT/개발 > AI/ML엔지니어",NORMAL,NORMAL,서울,,2026-09-28,https://linkareer.com/activity/348659,,2026-09-07 20:24:16
링커리어,한화모멘텀,[한화모멘텀] 해외영업(중국) 경력사원 채용,"기획/경영 > 사무/문서관리, 영업/CS > 고객상담/CS",NORMAL,NORMAL,경기,,2026-09-22,https://linkareer.com/activity/348657,,2026-09-07 20:24:16
링커리어,주식회사 알프랩코리아,뷰티 콘텐츠 마케터,마케팅/광고 > 전체,NORMAL,NORMAL,서울,,2026-09-20,https://linkareer.com/activity/348652,,2026-09-07 20:24:16
링커리어,한화,[한화] 글로벌부문 반도체소재 영업 경력사원 채용,"영업/CS > 영업관리/기획, 영업/CS > 고객상담/CS, 연구/R&D > 전기/전자/반도체",NORMAL,NORMAL,서울,,2026-09-27,https://linkareer.com/activity/348651,,2026-09-07 20:24:16
링커리어,NRISE(엔라이즈),"[NRISE] 엔라이즈 마케팅 콘텐츠 인턴 채용 (위피, 콰트)",마케팅/광고 > SNS/콘텐츠마케팅,ASAP,ASAP,서울,,2026-12-06,https://linkareer.com/activity/348650,,2026-09-07 20:24:16
링커리어,타인에이아이,CX 매니저 (신입),영업/CS > 고객상담/CS,ASAP,ASAP,서울,,2026-12-06,https://linkareer.com/activity/348648,,2026-09-07 20:24:16
링커리어,콜마비앤에이치,[콜마비앤에이치] 음성공장 건강기능식품 생산직 신입/경력 채용 (채용시 마감),"생산/제조 > 생산/공정관리, 생산/제조 > 생산직/조립/가공",NORMAL,NORMAL,충청,,2026-12-31,https://linkareer.com/activity/348647,,2026-09-07 20:24:16
링커리어,SK ON,[SK ON] New Application소재개발팀 기술감독직 채용,"생산/제조 > 생산직/조립/가공, 연구/R&D > 화학/에너지/환경, 물류/유통 > 구매/자재관리",NORMAL,NORMAL,대전,,2026-09-20,https://linkareer.com/activity/348646,,2026-09-07 20:24:16
링커리어,가온칩스,[가온칩스] 법무팀 경력 사원 모집,기획/경영 > 전체,ASAP,ASAP,경기,,2026-10-27,https://linkareer.com/activity/348645,,2026-09-07 20:24:16
링커리어,가온칩스,[가온칩스] 개발본부 반도체 기술기획 담당자 채용,연구/R&D > 전체,ALWAYS,ALWAYS,경기,,2026-10-21,https://linkareer.com/activity/348644,,2026-09-07 20:24:16
링커리어,PTKOREA,[PTKOREA] [인턴] 글로벌 브랜드 소셜 채널 운영 지원 및 검수 지원 업무,기획/경영 > 서비스기획/운영,NORMAL,NORMAL,서울,,2026-10-08,https://linkareer.com/activity/348643,,2026-09-07 20:24:16
링커리어,가온칩스,"[가온칩스] 사업운영본부 CE팀(PM,PKG) 경력직 채용","기획/경영 > 전체, IT/개발 > 전체, 연구/R&D > 전체",ASAP,ASAP,경기,,2026-12-06,https://linkareer.com/activity/348642,,2026-09-07 20:24:16
링커리어,(주)인코스파트너스,[인코스파트너스] CJ ENM 유튜브 영상편집 에디터 모집,미디어/콘텐츠 > 영상촬영/편집,ASAP,ASAP,서울,,2026-12-06,https://linkareer.com/activity/348641,,2026-09-07 20:24:16
링커리어,컴투스,[컴투스] [가치아쿠타] 액션RPG 전투기획자 (5년 이상),IT/개발 > 전체,NORMAL,NORMAL,서울,,2026-09-15,https://linkareer.com/activity/348639,,2026-09-07 20:24:16
링커리어,컴투스,[컴투스] 별도 결산 담당자 (4~8년),기획/경영 > 전체,NORMAL,NORMAL,서울,,2026-09-15,https://linkareer.com/activity/348636,,2026-09-07 20:24:16
링커리어,컴투스,[컴투스] [컴투스프로야구V26] 사업PM (1~5년),기획/경영 > 전체,NORMAL,NORMAL,서울,,2026-09-15,https://linkareer.com/activity/348633,,2026-09-07 20:24:16
링커리어,데이원컴퍼니,[패스트캠퍼스 B2G][전환형 인턴] 교육 운영 매니저 (10:00~19:00),교육 > 학원운영/교육상담,ASAP,ASAP,서울,,2026-12-06,https://linkareer.com/activity/348632,,2026-09-07 20:24:16
링커리어,HL디앤아이한라,[HL디앤아이한라] 회계팀 계약직 채용,"기획/경영 > 총무/법무/비서, 기획/경영 > 재무/IR, 기획/경영 > 사무/문서관리",NORMAL,NORMAL,서울,,2026-09-11,https://linkareer.com/activity/348631,,2026-09-07 20:24:18
링커리어,컴투스,[컴투스] UI/UX 디자이너 (3년 이상),디자인 > 전체,NORMAL,NORMAL,서울,,2026-09-15,https://linkareer.com/activity/348628,,2026-09-07 20:24:18
링커리어,SK케미칼,[SK케미칼] 청주공장 회계 계약직 채용 (신입/경력),"기획/경영 > 재무/IR, 기획/경영 > 사무/문서관리",NORMAL,NORMAL,충청,,2026-09-13,https://linkareer.com/activity/348626,,2026-09-07 20:24:18
링커리어,컴투스,[컴투스] Web QA 담당자 (계약직),IT/개발 > 전체,NORMAL,NORMAL,서울,,2026-09-15,https://linkareer.com/activity/348624,,2026-09-07 20:24:18
