사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
미디어잡,TV조선,[광화문/중식제공/FD] '핫라인'/생방송/스튜디오/수당지급/소품관리,"PD/방송연출, AD/조연출, FD/연출보조, 방송제작, 방송송출",경력무관,기타,서울 중구 세종대로21길,,2026-09-07,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=323195,,2026-09-07 20:24:12
미디어잡,CJ ENM,[본사소속/비서/정산] 콘텐츠유통BU 회계지원 및 임원비서 채용,"콘텐츠 사업, 번역/통역/사무, 방송행정/사무, 회계/경리, 기타",경력무관,계약직,서울 마포구 매봉산로 31,,채용시,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=323231,,2026-09-07 20:24:17
미디어잡,CJ ENM,"[채널운영/예능/드라마] tvN, 샾잉, 디글 유튜브 제목 설정","방송제작, 영상편집, 기타",경력무관,기타,서울 마포구 매봉산로 31,,상시채용,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=323245,,2026-09-07 20:24:22
미디어잡,CJ ENM,"[예능/드라마/썸네일제작] tvN, 샾잉, 디글/영상편집/콘텐츠기획/채널운영","방송제작, 영상편집, 기타",경력무관,기타,서울 마포구 매봉산로 31,,상시채용,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=323246,,2026-09-07 20:24:27
미디어잡,CJ ENM,[영화/예능/드라마/콘텐츠제작] 마케팅 지원 및 채널운영,"방송제작, 영상편집, 기타",경력무관,기타,서울 마포구 매봉산로 31,,상시채용,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=323247,,2026-09-07 20:24:32
미디어잡,(주)디지털대성,[촬영PD/월241만] 강의영상 촬영/모니터링/신입가능,"PD/방송연출, 영상편집, 동영상 촬영/편집",경력무관,기타,서울 서초구 방배로 181,,채용시,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=323392,,2026-09-07 20:24:37
미디어잡,카페24,[영상편집/주4일/시차출근제] 광고/유튜브/SNS/모션그래픽/프리미어/애프터이펙트,"방송제작, 영상편집, 동영상 촬영/편집, 영상그래픽, 동영상 콘텐츠제작",경력무관,기타,서울 동작구 보라매로5길 15,,채용시,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=323459,,2026-09-07 20:24:42
미디어잡,(주)우아한형제들,경력 퍼포먼스마케팅,"웹기획/웹PD, 콘텐츠기획/운영, 광고영업/영업관리, 마케팅/기획, 기타",경력,정규직,서울 송파구 위례성대로,,채용시,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=324376,,2026-09-07 20:24:47
미디어잡,뉴로핏(주),AI 헬스케어 마케터,"마케팅/프로모션, 홍보/언론홍보, 공연/전시기획, 디지털마케터, 마케팅/기획",경력무관,정규직,서울 강남구 테헤란로 124,,2026-09-21,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=324475,,2026-09-07 20:24:52
미디어잡,㈜이노션에스,제작 솔루션 본부 영상 디자이너 / 시니어 매니저(계약직),"영상편집, 숏폼업로드, 홍보/언론홍보, 동영상 콘텐츠제작, 그래픽디자이너/CG",경력,계약직,서울 강남구 테헤란로7길,,2026-09-28,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=324521,,2026-09-07 20:24:57
