공고URL,직무내용,직종,업종,고용형태,근무지역,근무시간,근무형태,경력학력조건,임금조건,모집인원,기관명,분류,접수방법,기타사항,채용분야,원출처URL,수집시각
https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817303,,,의료(진료과목별),정규직,"부산 부산전체,경남 경남전체,경남 김해시,경남 창원시 마산회원구,경남 밀양시,경남 양산시",,,"대학졸업(2,3년)이상",연봉 면접후 결정,1,,,,정규직,,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54753349&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,2026-09-08 13:17:49
https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817302,,,솔루션·SI·ERP·CRM,정규직,부산 해운대구,,,학력무관,연봉 면접후 결정,1,,,,정규직,,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54959179&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,2026-09-08 13:17:49
https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817301,,,식품가공·개발,아르바이트,"부산 금정구,부산 동래구,경남 양산시",,,학력무관,"연봉 시급 10,320원",1,,,,아르바이트,,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54959188&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,2026-09-08 13:17:49
https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817300,,,솔루션·SI·ERP·CRM,정규직,부산 해운대구,,,학력무관,연봉 면접후 결정,1,,,,정규직,,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54959191&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,2026-09-08 13:17:49
https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817299,,,유통·무역·상사,정규직,부산 해운대구,,,학력무관,연봉 면접후 결정,1,,,,정규직,,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54959210&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,2026-09-08 13:17:50
https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817298,,,판매(상품품목별),위촉직,부산 금정구,,,고등학교졸업이상,연봉 면접후 결정,1,,,,위촉직,,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54959218&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,2026-09-08 13:17:50
https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817297,,,기타제조업,정규직,부산 영도구,,,학력무관,"연봉 연봉 3,000만원",1,,,,정규직,,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54959242&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,2026-09-08 13:17:50
https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817296,,,의료(병원종류별),"정규직,계약직 (정규직 전환가능),계약직",부산 동래구,,,학력무관,연봉 면접후 결정,1,,,,"정규직,계약직 (정규직 전환가능),계약직",,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54959271&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,2026-09-08 13:17:50
https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817295,,,식품가공·개발,"계약직 (정규직 전환가능),계약직",부산 서구,,,대학교졸업(4년)이상,연봉 월급 360만원,1,,,,"계약직 (정규직 전환가능),계약직",,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54959283&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,2026-09-08 13:17:51
https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817294,,,식품가공·개발,정규직,부산 기장군,,,학력무관,연봉 면접후 결정,1,,,,정규직,,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54959285&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,2026-09-08 13:17:51
