공고URL,직무내용,직종,채용분야,업종,고용형태,경력,학력,급여,근무시간,근무형태,모집인원,상세주소,우대사항,수집시각
https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2485,기물세척 및 관리,청소·방역 및 가사 서비스,미용·여행·숙박·음식·경비·돌봄·청소 > 청소·방역 및 가사 서비스,"숙박업, 서비스업",기간의 정함이 있는 근로계약,무관,학력무관,시급 10320원 이상 ~ 10320원 이하,주 5일 13:00~22:00,주 5일,1 명,급여조건 시급,"기타 우대사항 전형방법 일자리신청 - 채용정보·신청 (민간 일자리) 상세 정보 - 전형방법, 기타 전형방법, 접수방법, 기타 접수방법, 제출서류, 기타 제출서류, 이력서 양식이 들어간",2026-09-09 07:06:06
https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2484,전자제품 조립,제조 단순 종사자,설치·정비·생산-인쇄·목재·공예 및 제조 단순 > 제조 단순 종사자,장애인근로자 수,기간의 정함이 있는 근로계약,무관,학력무관,시급 10320원 이상 ~ 10320원 이하,주 5일 13:00~16:00,주 5일,1 명,(사)부산16개구군장애인법인연합회 복지사업단,"청년층우대 전형방법 일자리신청 - 채용정보·신청 (민간 일자리) 상세 정보 - 전형방법, 기타 전형방법, 접수방법, 기타 접수방법, 제출서류, 기타 제출서류, 이력서 양식이 들어간",2026-09-09 07:06:07
https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2483,1. 병원 내 영양과 비품 정리 및 청소 등(20kg 이상 물건 드는 일 포함) 2. 병원 환경 미화업무,청소·방역 및 가사 서비스,미용·여행·숙박·음식·경비·돌봄·청소 > 청소·방역 및 가사 서비스,병원,기간의 정함이 있는 근로계약,무관,학력무관,시급 10320원 이상 ~ 10320원 이하,주 5일 09:00~17:00,주 5일,2 명,급여조건 시급,"기타 우대사항 전형방법 일자리신청 - 채용정보·신청 (민간 일자리) 상세 정보 - 전형방법, 기타 전형방법, 접수방법, 기타 접수방법, 제출서류, 기타 제출서류, 이력서 양식이 들어간",2026-09-09 07:06:07
https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2482,병동 내 미화,청소·방역 및 가사 서비스,미용·여행·숙박·음식·경비·돌봄·청소 > 청소·방역 및 가사 서비스,종합병원(의료서비스),기간의 정함이 없는 근로계약,무관,학력무관,월급 2064000원 이상 ~ 2064000원 이하,주 5일 06:00~16:00,주 5일,1 명,급여조건 월급,"기타 우대사항 전형방법 일자리신청 - 채용정보·신청 (민간 일자리) 상세 정보 - 전형방법, 기타 전형방법, 접수방법, 기타 접수방법, 제출서류, 기타 제출서류, 이력서 양식이 들어간",2026-09-09 07:06:08
https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2481,단순 조립 및 제조,제조 단순 종사자,설치·정비·생산-인쇄·목재·공예 및 제조 단순 > 제조 단순 종사자,단순조립 및 제조,기간의 정함이 있는 근로계약,무관,학력무관,월급 815280원 이상 ~ 815280원 이하,주 5일 시간협의,주 5일,3 명,급여조건 월급,"기타 우대사항 전형방법 일자리신청 - 채용정보·신청 (민간 일자리) 상세 정보 - 전형방법, 기타 전형방법, 접수방법, 기타 접수방법, 제출서류, 기타 제출서류, 이력서 양식이 들어간",2026-09-09 07:06:09
https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2480,임플란트 소재 생산 및 검사직,제조 단순 종사자,설치·정비·생산-인쇄·목재·공예 및 제조 단순 > 제조 단순 종사자,아파트 미화,기간의 정함이 있는 근로계약,신입,학력무관,시급 10400원 이상 ~ 10400원 이하,주 5일 07:30~16:30,주 5일,4 명,지상,"청년층우대 전형방법 일자리신청 - 채용정보·신청 (민간 일자리) 상세 정보 - 전형방법, 기타 전형방법, 접수방법, 기타 접수방법, 제출서류, 기타 제출서류, 이력서 양식이 들어간",2026-09-09 07:06:09
https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=381,"서류정리, 전화안내, 경비지출 보조, 행사지원 등",통계·비서·사무보조·기타 사무,경영·사무·금융·보험 > 통계·비서·사무보조·기타 사무,,기간의 정함이 있는 근로계약,무관,학력무관,월급 2100000원 이상 ~ 2100000원 이하,주 5일 09:00~18:00,주 5일,1 명,3층,"청년층우대,여성우대 전형방법 일자리신청 - 채용정보·신청 (민간 일자리) 상세 정보 - 전형방법, 기타 전형방법, 접수방법, 기타 접수방법, 제출서류, 기타 제출서류, 이력서 양식이 들어간",2026-09-09 07:06:09
https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2478,고등학교 내 건물 청소 관리,청소·방역 및 가사 서비스,미용·여행·숙박·음식·경비·돌봄·청소 > 청소·방역 및 가사 서비스,장애인근로자 수,기간의 정함이 있는 근로계약,무관,학력무관,시급 10320원 이상 ~ 10320원 이하,주 5일 14:00~17:00,주 5일,1 명,부산정보고등학교 학교 내,"장년(고령자) 전형방법 일자리신청 - 채용정보·신청 (민간 일자리) 상세 정보 - 전형방법, 기타 전형방법, 접수방법, 기타 접수방법, 제출서류, 기타 제출서류, 이력서 양식이 들어간",2026-09-09 07:06:10
https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2477,"콘센트, 의료기기 등 전자기기 부품 조립",제조 단순 종사자,설치·정비·생산-인쇄·목재·공예 및 제조 단순 > 제조 단순 종사자,장애인근로자 수,기간의 정함이 있는 근로계약,무관,학력무관,시급 10320원 이상 ~ 10320원 이하,주 5일 시간협의,주 5일,2 명,4. 5층,"기타 우대사항 전형방법 일자리신청 - 채용정보·신청 (민간 일자리) 상세 정보 - 전형방법, 기타 전형방법, 접수방법, 기타 접수방법, 제출서류, 기타 제출서류, 이력서 양식이 들어간",2026-09-09 07:06:10
https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2475,발달장애인 요양보호사 보조일자리,그 외 보건·의료 종사자,보건·의료 > 그 외 보건·의료 종사자,서구장애인복지관 발달장애인 요양보호사 보조일자리사업,기간의 정함이 있는 근로계약,무관,학력무관,월급 1233690원 이상 ~ 1313930원 이하,주 5일 09:00~15:00,주 5일,1 명,서구장애인복지관,"기타 우대사항 졸업예정자, 여성가장, 시설 장애인 자립지원 체계 구축 시범사업 대상자, 취업지원대상자, 장애인일자리 우수참여자 우대 졸업예정자, 여성가장, 시설 장애인 자립지원 체계 구축 시범사업 대상자, 취업지원대상자, 장애인일자리 우수참여자 우대",2026-09-09 07:06:11
