공고URL,모집분야,직무키워드,담당업무,자격요건,우대사항,직급직책,근무형태,근무시간,급여,업종,직종,상세주소,모집인원,학력,수집시각
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54781063,,,,ㆍ경력 : 신입 (팀원급) ㆍ학력 : 고졸 이상 기타 필수 사항 ㆍ1종보통운전면허,"모집인원 전동지게차 정비 전동지게차 A.S, 납품 (완력을 요하는 작업이 있을 수 있음)",,,,세후 240만원/월,,,,,,2026-09-08 13:45:03
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54829727,,,,,,,,,250만원,,,,,,2026-09-08 13:45:03
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54864566,,,,,,,,,330만원(3개월 320만원),,,,,,2026-09-08 13:45:04
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54913929,,,,] ㆍ경력 3년 이상 [필수사항] ㆍCAD 사용 가능자 ㆍ커뮤니케이션과 대인관계 역량 [,] ㆍ산업기계 및 자동화기계 제조사 근무 경력자 ㆍ컴퓨터 활용능력(ERP 활용) ㆍ전기관련 자격증 ㆍ운전가능(1톤) 0명 PM (건양트루넷) ㆍProject 일정 및 이슈관리 [,,,,,,,,,,2026-09-08 13:45:04
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54915460,모집부문,,,ㆍ학력 : 초대졸 이상 ㆍ경력 : 신입 및 경력 ㆍ친절한 고객 응대 커뮤니케이션 가능하신 분 ㆍ전화 상담 및 안내 업무 가능하신 분 ㆍ기본 문서작성 및 전산 활용 가능하신 분,고객관리 운영 매니저 ㆍ고객 문의 접수 및 상담 ㆍ전화 기반 TM 안내 ㆍ시공 일정 및 요청사항 조율 ㆍ상담 이력 관리 및 데이터 정리 ㆍ카카오톡 및 카카오 채널톡을 이용하여 상담 수행,,,,,,,,,,2026-09-08 13:45:05
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54946883,,,"ㆍ고객서비스 업무 ㆍ매장관리 및 Q,C,S 관리 ㆍ서버업무",ㆍ학력 무관 ㆍ경력 무관,ㆍ동종업계 경력자 급여 ㆍ주방(계약직) : 270만원(협의가능),,,,270만원(협의가능),,,,,,2026-09-08 13:45:05
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54971394,,,,인원 토목시공 기술자 현장(토목시공) 업무 간단한 문서작업 가능하신 분 ㆍ학사 이상 ㆍ토목공학 전공자 우대 ㆍ자동차운전면허 1종보통 소지자 ㆍ토목기사 및 토목산업기사 소지자 우대 ㆍ아파트토공 및 부대토목공사 유경험자 우대 0명 안전관리 건설 안전 업무 현장 안전관리 및 점검,"ㆍ토목공학 전공자 우대 ㆍ안전기사, 안전산업사 자격증 소지자 우대 0명",,,,면접시 협의,,,부산/경남 채용자 → 부산/경남권,,,2026-09-08 13:45:06
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54962641,세무사 사무실 직원채용합니다.,,"• 기장 및 신고대리 업무(원천세, 부가가치세, 종합소득세, 법인세, 4대보험 업무 등) • 거래처관리 📋","• 경력 무관 (신입 지원 가능) • 고등학교졸업이상, 졸업 예정자 지원가능 📋","• 자격증: 전산세무1급 (국가공인), 전산세무2급 (국가공인) 🏠",,정규직,,면접 후 결정,,,"부산 남구 수영로 277, 라온빌딩 6층",1,,2026-09-08 13:45:06
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54923335,반도체금형 설계,,• 반도체 금형 설계 및 개발 업무예요 • 생산 공정 개선 및 최적화 진행해요 • CAD 소프트웨어를 활용한 설계해요 • 기계 설계 도면 작성 및 검토해요 • 생산 부서와 협업하여 문제 해결해요 📋,"• 경력 무관 (신입 지원 가능) • 대학졸업(2,3년)이상 • 기계공학 관련 전공자 우대해요 • CAD 프로그램 사용 가능자예요 • 설계 관련 지식 보유자예요 • 팀워크와 커뮤니케이션 능력해요 • 문제 해결 능력 중요해요 📋",• 반도체 금형 설계 경험자 우대해요 • 기계 업종 경험자 환영해요 • 프로젝트 관리 경험자 선호해요 • 창의적 문제 해결 능력 보유해요 • 세부 사항에 주의하는 성격해요 🏠,,정규직,,면접 후 결정,,,부산 강서구 화전산단3로 82,,,2026-09-08 13:45:06
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=50846359,,,"공간정보 및 머신러닝 기반 재난재해 응용 기술 개발 - EO/SAR 영상기반 재난재해 탐지 알고리즘 개발 - 학습용 EO/SAR 영상 데이터셋 제작 - 재난재해 탐지, 정량적 변화 계측 등 응용 어플리케이션 설계 및 구현 - XAI(eXplainable AI) 기반 모델 해석 및 최적화 SAR 영상 기반 응용 연구, 개발 - SAR 후방산란계수(Backscatter) 영상의 이론적 해석 및 활용 연구 - InSAR/PSInSAR 등 간섭 기법 및 시계열 분석을 통한 지표 변위, 변화 탐지 - SAR 영상 기반 머신러닝 알고리즘 설계, 개발 및 성능 검증 연구과제 및 용역과제 관리 및 진행 - RFP 분석, 제안서/보고서 작성 - 일정, 예산, 성과물 관리 위성영상분석 및 활용 콘텐츠 제작 - 대외 홍보 및 기술 확산을 위한 위성영상분석 및 활용 콘텐츠 제작","- Linux 환경에서 Python 또는 C/C++로 물리 버스/장치 제어 실무 (예 : /dev/i2c-*, spidev, socketcan(can0), pyserial 직접 사용·드라이버/프로토콜 핸들링) - 테스트 자동화 경험: 스크립트화, 로그·메트릭 수집, 실패 재현 및 리포트 자동화 - Git 기반 협업 및 기본적인 CI 사용 경험 - 계측장비 자동화, 데이터 수집·시각화(예: InfluxDB/Grafana, OpenSearch 등) - Docker Compose 활용 경험 (docker-compose.yml 작성·운용을 통한 백엔드, DB 등 다중 서비스 환경 통합 구동 경험) - 빌드 및 자동화 스크립트 작성 경험 (Makefile, CMake 설정 파일, Shell 스크립트를 활용한 빌드/배포 환경 구성 및 유지보수 경험) - 관련 전공 학사 이상(항공우주/기계/전자/컴퓨터/물리/천문 등)","- 국제무역사, 물류관리사, CPSM(국제공인구매관리사) 등 직무 관련 자격증을 보유하신 분 - R&D 기반 제조/엔지니어링 기업 또는 수주형 프로젝트 비즈니스에서의 구매 실무 및 원가 산출 경험 - 단순 구매 실무를 넘어, 신규 업체를 등록하고 비교견적 및 구매 프로세스를 자체적으로 세팅하거나 고도화해 본 경험 사업부문 모집부문 상세내용 Business Development Manager 지원하기 What You’ll Do - Develop and expand business opportunities in the small satellite and satellite imagery markets - Collect project information and establish business strategies - Support participation in international and domestic exhibitions and events - Prepare proposals, negotiate/review/execute contracts, and manage client relationships post-signing What We’re Looking For - Minimum 3 years of experience in business development or sales within the small satellite or satellite imagery sectors - Native-level English proficiency (All recruitment processes, including interviews, will be conducted in English) - No restrictions on international travel and willingness to travel frequently. - Must be able to work on-site in Seoul, Korea - Prior experience or a strong network within the Aerospace & Defense industry - Current holders of a valid Korean work visa - Proven track record of closing deals with international government or commercial clients Bonus Points - Str",,,,,,,"서울시 영등포구 국회대로 632, 15층(유윈시티)",,,2026-09-08 13:45:07
