사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각,학력
사람인부산,(주)삼진지게차,삼진지게차 정비 신입 사원 모집,"납품운전원, 특수차량, 전동지게차, 거래처관리, 거래처납품",신입,정규직,부산 강서구,,2026-09-17,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54781063,saramin:54781063,2026-09-08 13:40:25,고졸↑
사람인부산,거대곰탕,[다다스낵바] 서비스(주방) 직원 모집,"메뉴개발, 부주방장, 조리사, 주방보조, 주방장",경력무관,계약직,부산전체 외,,2026-09-22,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54829727,saramin:54829727,2026-09-08 13:40:25,학력무관
사람인부산,주식회사 유니버셜푸드랩,유니버셜푸드랩 야간생산조 구인(320만~330만),"납품운전원, 물류기사, 배송기사, 탁송기사, 적재/하역",신입 · 경력,계약직,부산전체 외,,2026-09-25,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54864566,saramin:54864566,2026-09-08 13:40:25,학력무관
사람인부산,거대돼지국밥,거대돼지국밥 홀/주방(310만) 직원 모집,"매장매니저, 부주방장, 조리사, 주방보조, 주방장",경력 1년↑ · 파트 외,,부산전체 외,,2026-09-26,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54877838,saramin:54877838,2026-09-08 13:40:25,학력무관
사람인부산,(주)건양아이티티,구매외주/PM/기계설계/영업/생산 신입 및 경력 채용,"APM, 기술영업, 무역사무원, 무역중개인, 무역MR",신입 · 경력,정규직,부산전체 외,,2026-09-20,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54913929,saramin:54913929,2026-09-08 13:40:25,학력무관
사람인부산,,고객관리 운영 매니저 채용,"상담원, 아웃바운드, 인바운드, 텔레마케터, CS",신입 · 경력,정규직,부산전체 외,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54915460,saramin:54915460,2026-09-08 13:40:25,"대학(2,3년)↑"
사람인부산,(주)가나,"[스윔웨어쇼핑몰] CS오퍼레이터 , 물류센터, 온라인MD","영업MD, 온라인판매, 거래처관리, 고객관리, 고객안내",신입 · 경력,정규직,부산전체 외,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54944003,saramin:54944003,2026-09-08 13:40:25,"대학(2,3년)↑"
사람인부산,(주)거대곰탕해운대,[(주)거대곰탕해운대점] 주방/홀(320만) 직원 채용,"메뉴개발, 부주방장, 조리사, 주방보조, 주방장",경력무관,계약직,부산전체 외,,2026-10-06,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54946883,saramin:54946883,2026-09-08 13:40:25,학력무관
사람인부산,(주)제일공사,2026년도 토목 시공/안전관리 모집공고,"안전관리자, 토목기술자, 현장관리자, 현장기사, 안전보건관리자",신입 · 경력,정규직,서울전체 외,,2026-09-21,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54971394,saramin:54971394,2026-09-08 13:40:25,대학교(4년)↑
사람인부산,세무법인서초부산센터,[세무법인서초] 세무회계사무소 경력 및 신입 직원 채용,"세무회계, 세무사사무실",경력무관,정규직,부산 남구,,2026-10-07,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54962641,saramin:54962641,2026-09-08 13:40:25,고졸↑
사람인부산,,동호에이텍 반도체금형 설계사원 모집 (신입사원 수습기간3개월),"캐드원, 금형설계, 부품설계, 상주근무, 주간근무",경력무관,정규직,부산 강서구,,2026-10-02,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54923335,saramin:54923335,2026-09-08 13:40:25,"대학(2,3년)↑"
사람인부산,(주)나라스페이스테크놀로지,[NARA SPACE] 각 부문별 직원모집,"데이터엔지니어, 백엔드/서버개발, 웹개발, 정보보안, 프론트엔드",신입 · 경력,정규직,서울 영등포구 외,,2026-09-30,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=50846359,saramin:50846359,2026-09-08 13:40:25,"대학(2,3년)↑"
사람인부산,(주)아정네트웍스,[아정당] 채용 담당자 (부산),"채용담당자, 면접/인터뷰, 인사행정, 채용공고관리, 인사",신입 · 경력,정규직,부산 북구,,2026-11-21,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54826897,saramin:54826897,2026-09-08 13:40:25,"대학(2,3년)↑"
사람인부산,,"사상구 치과, 주4일 근무. 진료실 치과위생사 구인합니다",치과위생사,경력무관,정규직,부산전체 외,,2026-09-30,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54893203,saramin:54893203,2026-09-08 13:40:25,"대학(2,3년)↑"
사람인부산,,기가입고객 보상처리 담당자 모집,"평가/보상, 고객관리, 고객안내, 고객응대, 보험설계사",경력무관,위촉직 외,부산 부산진구 외,,2026-09-30,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54923164,saramin:54923164,2026-09-08 13:40:25,학력무관
