사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
자소설닷컴,넥스트챕터,Talent Acquisitions Manager (채용 담당자),Talent Acquisitions Manager (채용 담당자),경력,상시채용,,,2026-01-02,https://jasoseol.com/recruit/100877,,2026-09-07 18:17:21
자소설닷컴,토스플레이스,Marketing Design Partner,Marketing Design Partner,계약직,상시채용,,,2026-01-02,https://jasoseol.com/recruit/100884,,2026-09-07 18:17:22
자소설닷컴,쏘카,[계약직] 사고심사 매니저,사고심사 매니저,계약직,상시채용,,,2026-01-04,https://jasoseol.com/recruit/100932,,2026-09-07 18:17:22
자소설닷컴,코그,"게임 서비스 해외 PM (영어권, 중국)","PM (영어권, 중국)",코드5,상시채용,,,2026-01-03,https://jasoseol.com/recruit/100940,,2026-09-07 18:17:23
자소설닷컴,넥스트챕터,Brand Manager (Beauty & Personal Care),Brand Manager (Beauty & Personal Care),경력,상시채용,,,2026-01-04,https://jasoseol.com/recruit/100942,,2026-09-07 18:17:23
자소설닷컴,쿠팡풀필먼트서비스,2025년 하반기 현장관리자 정규직 대규모 채용,운영 현장 관리자 Team Captain ,코드5,수시채용,,,2026-01-04,https://jasoseol.com/recruit/100952,,2026-09-07 18:17:23
자소설닷컴,넥스트챕터,[인턴] Channel Operations Intern (온라인 MD 인턴),Channel Operations Intern (온라인 MD 인턴),인턴,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100960,,2026-09-07 18:17:24
자소설닷컴,넥스트챕터,Head of HR,Head of HR,경력,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100959,,2026-09-07 18:17:25
자소설닷컴,넥스트챕터,Sales Manager (Domestic) / 국내 영업,Sales Manager (Domestic) / 국내 영업,경력,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100964,,2026-09-07 18:17:25
자소설닷컴,넥스트챕터,[인턴] Brand Manager Intern (CPG),Brand Manager Intern (CPG),인턴,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100963,,2026-09-07 18:17:26
자소설닷컴,넥스트챕터,Product Manager (Living),Product Manager (Living),경력,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100966,,2026-09-07 18:17:26
자소설닷컴,넥스트챕터,Product Manager (기획 및 소싱 MD),Product Manager (기획 및 소싱 MD),경력,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100967,,2026-09-07 18:17:26
자소설닷컴,넥스트챕터,Global Marketing Manager (Beauty) / 글로벌 뷰티 마케팅 매니저,Global Marketing Manager (Beauty) / 글로벌 뷰티 마케팅 매니저,경력,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100969,,2026-09-07 18:17:27
자소설닷컴,넥스트챕터,Brand Manager (Home & Interior),Brand Manager (Home & Interior),경력,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100968,,2026-09-07 18:17:27
자소설닷컴,넥스트챕터,"Global Online MD (Amazon, Shopee)","Global Online MD (Amazon, Shopee)",경력,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100970,,2026-09-07 18:17:28
자소설닷컴,넥스트챕터,Brand Designer (Beauty & Personal Care),Brand Designer (Beauty & Personal Care),경력,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100973,,2026-09-07 18:17:28
자소설닷컴,넥스트챕터,Brand Designer (CPG),Brand Designer (CPG),경력,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100974,,2026-09-07 18:17:28
자소설닷컴,넥스트챕터,[인턴] Finance Manager Intern (재무 인턴),Finance Manager Intern (재무 인턴),인턴,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100956,,2026-09-07 18:17:29
자소설닷컴,넥스트챕터,Channel Ops Manager / 온라인MD (쿠팡/컬리 등),Channel Ops Manager / 온라인MD (쿠팡/컬리 등),경력,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100975,,2026-09-07 18:17:29
자소설닷컴,넥스트챕터,HR/GA Ops Manager (인사/총무 담당자),HR/GA Ops Manager (인사/총무 담당자),경력,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100976,,2026-09-07 18:17:29
자소설닷컴,GC셀,검체 관리 서비스 매니저 채용 (동대문),서비스 매니저,계약직,상시채용,,,2026-01-06,https://jasoseol.com/recruit/101001,,2026-09-07 18:17:30
자소설닷컴,비바리퍼블리카(토스),Frontend Ops Developer (WebView SDK),Frontend Ops Developer (WebView SDK),계약직,상시채용,,,2026-01-05,https://jasoseol.com/recruit/100988,,2026-09-07 18:17:30
자소설닷컴,KCC,2025년 4분기 부문별 대졸 경력 수시채용,"기계, IT","경력, 계약직",상시채용,,,2026-01-15,https://jasoseol.com/recruit/101040,,2026-09-07 18:17:31
자소설닷컴,넥스트챕터,[인턴] Design Intern,Design Intern,인턴,상시채용,,,2026-01-05,https://jasoseol.com/recruit/101019,,2026-09-07 18:17:31
자소설닷컴,비바리퍼블리카(토스),Business Development Manager,Business Development Manager,경력,상시채용,,,2026-01-12,https://jasoseol.com/recruit/101095,,2026-09-07 18:17:31
자소설닷컴,토스뱅크,ML Data Assistant,ML Data Assistant,계약직,상시채용,,,2026-01-13,https://jasoseol.com/recruit/101124,,2026-09-07 18:17:32
자소설닷컴,페이히어,[핀테크 스타트업] 세일즈 스페셜리스트 채용,"프로덕트 세일즈 스페셜리스트, 에이전시 세일즈 스페셜리스트",계약직,상시채용,,,2026-01-08,https://jasoseol.com/recruit/101128,,2026-09-07 18:17:32
자소설닷컴,비바리퍼블리카(토스),People Systems Manager(Workday),People Systems Manager(Workday),경력,상시채용,,,2026-01-12,https://jasoseol.com/recruit/101106,,2026-09-07 18:17:33
자소설닷컴,비바리퍼블리카(토스),Content Marketing Assistant,Content Marketing Assistant,계약직,상시채용,,,2026-01-16,https://jasoseol.com/recruit/101136,,2026-09-07 18:17:33
자소설닷컴,쏘카,[정규직] 사고심사 매니저,사고심사 매니저,경력,상시채용,,,2026-01-14,https://jasoseol.com/recruit/101167,,2026-09-07 18:17:33
자소설닷컴,넥스트챕터,[인턴] 글로벌 인플루언서 마케팅(Beauty),[인턴] 글로벌 인플루언서 마케팅(Beauty),인턴,상시채용,,,2026-01-18,https://jasoseol.com/recruit/101170,,2026-09-07 18:17:33
자소설닷컴,넥스트챕터,[인턴] Influencer Marketing Intern (인플루언서 마케팅 인턴),Influencer Marketing Intern (인플루언서 마케팅 인턴),인턴,상시채용,,,2026-01-05,https://jasoseol.com/recruit/101171,,2026-09-07 18:17:34
자소설닷컴,피알앤디컴퍼니,[헤이딜러] 테크베이 회계 팀원 (인천),회계 팀원,계약직,상시채용,,,2026-01-15,https://jasoseol.com/recruit/101174,,2026-09-07 18:17:34
자소설닷컴,야놀자,Corporate Communications Manager,Corporate Communications Manager,경력,상시채용,,,2026-01-23,https://jasoseol.com/recruit/101253,,2026-09-07 18:17:35
자소설닷컴,야놀자,Global Sales Strategy & Operations Senior Analyst,Global Sales Strategy & Operations Senior Analyst,경력,상시채용,,,2026-01-02,https://jasoseol.com/recruit/101252,,2026-09-07 18:17:36
자소설닷컴,비바리퍼블리카(토스),Assistant PD,Assistant PD,계약직,상시채용,,,2026-01-19,https://jasoseol.com/recruit/101202,,2026-09-07 18:17:37
자소설닷컴,에이피알,[영업지원] 해외 영업 출고 지원 담당 채용연계형 인턴사원 및 경력사원 모집,[영업지원] 해외 영업 출고 지원 담당 채용연계형 인턴사원 및 경력사원 모집,"경력, 인턴",상시채용,,,2026-01-20,https://jasoseol.com/recruit/101261,,2026-09-07 18:17:37
자소설닷컴,더스크랙,마케팅 인턴 채용,마케팅,인턴,상시채용,,,2026-01-23,https://jasoseol.com/recruit/101269,,2026-09-07 18:17:37
자소설닷컴,비바리퍼블리카(토스),Ads Policy & Operations Manager,Ads Policy & Operations Manager,경력,상시채용,,,2026-01-23,https://jasoseol.com/recruit/101271,,2026-09-07 18:17:37
자소설닷컴,NHN Cloud,클라우드 서비스 기획,클라우드 서비스 기획,경력,상시채용,,,2026-01-24,https://jasoseol.com/recruit/101281,,2026-09-07 18:17:38
자소설닷컴,NHN Cloud,스토리지 인프라 서비스 개발,스토리지 인프라 서비스 개발,경력,상시채용,,,2026-01-05,https://jasoseol.com/recruit/101278,,2026-09-07 18:17:38
자소설닷컴,KT,에이블스쿨 9기 모집,"AI 개발자, DX 컨설턴트",교육,수시채용,,,2026-01-07,https://jasoseol.com/recruit/101283,,2026-09-07 18:17:38
자소설닷컴,야놀자,[Yanolja NEXT] Software Engineer,[Yanolja NEXT] Software Engineer,경력,상시채용,,,2026-01-21,https://jasoseol.com/recruit/101284,,2026-09-07 18:17:39
자소설닷컴,야놀자,[Yanolja NEXT] Lead Software Engineer - IAB,Lead Software Engineer - IAB,경력,상시채용,,,2026-01-21,https://jasoseol.com/recruit/101287,,2026-09-07 18:17:40
