공고URL,학력,급여,업종,모집인원,근무시간,상세주소,게시일,수집시각
https://www.jobkorea.co.kr/Recruit/GI_Read/49901079,초대졸 이상,,,,,서울 강서구 마곡중앙5로1길 20 (마곡동,2026-08-25,2026-09-09 06:57:53
https://www.jobkorea.co.kr/Recruit/GI_Read/49769289,초대졸 이상,,,,,서울 강남구 테헤란로33길 5 (역삼동,2026-08-12,2026-09-09 06:57:53
https://www.jobkorea.co.kr/Recruit/GI_Read/49768002,대졸 이상,,,,,Jl Raya Trans Heksa,2026-08-12,2026-09-09 06:57:53
https://www.jobkorea.co.kr/Recruit/GI_Read/49796724,고졸 이상,,,,,경남 창원시 진해구 용원로 108 (용원동),2026-08-18,2026-09-09 06:57:54
https://www.jobkorea.co.kr/Recruit/GI_Read/49825044,학력무관,"시급 111,200,000원",,,,경남 양산시 상북면 석계산단1길 46 (석계리),2026-08-21,2026-09-09 06:57:54
https://www.jobkorea.co.kr/Recruit/GI_Read/49825028,학력무관,"시급 111,200,000원",,,,경남 양산시 상북면 석계산단1길 46 (석계리),2026-08-21,2026-09-09 06:57:55
https://www.jobkorea.co.kr/Recruit/GI_Read/49912063,고졸 이상,"연봉 30,000,000원",,,,부산 동구 중앙대로 197 (초량동),2026-09-02,2026-09-09 06:57:56
https://www.jobkorea.co.kr/Recruit/GI_Read/49849116,학력무관,,,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-08-24,2026-09-09 06:57:56
https://www.jobkorea.co.kr/Recruit/GI_Read/49927400,학력무관,,,,,부산 영도구 남항서로 52 (남항동3가),2026-09-04,2026-09-09 06:57:56
https://www.jobkorea.co.kr/Recruit/GI_Read/49934294,학력무관,"연봉 60,000,000원 ~ 70,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-07,2026-09-09 06:57:57
https://www.jobkorea.co.kr/Recruit/GI_Read/49934373,학력무관,"연봉 60,000,000원 ~ 70,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-07,2026-09-09 06:57:57
https://www.jobkorea.co.kr/Recruit/GI_Read/49920470,학력무관,"연봉 33,000,000원 ~ 36,010,000원",,,,서울 성북구 동소문로 315 (길음동,2026-09-05,2026-09-09 06:57:58
https://www.jobkorea.co.kr/Recruit/GI_Read/49930473,학력무관,,,,,부산 부산진구 중앙대로 736 (부전동),2026-09-04,2026-09-09 06:57:58
https://www.jobkorea.co.kr/Recruit/GI_Read/49920091,학력무관,"월급 2,350,000원",,,,부산 부산진구 부전로 43 (부전동,2026-09-03,2026-09-09 06:57:59
https://www.jobkorea.co.kr/Recruit/GI_Read/49885587,고졸 이상,"연봉 37,000,000원 ~ 60,010,000원",,,,울산 울주군 온산읍 처용산업로 51-20 (처용리,2026-08-31,2026-09-09 06:57:59
https://www.jobkorea.co.kr/Recruit/GI_Read/49924801,고졸 이상,"연봉 30,000,000원 ~ 35,010,000원",,,,부산 사하구 하신중앙로3번길 64 (장림동),2026-09-03,2026-09-09 06:58:00
https://www.jobkorea.co.kr/Recruit/GI_Read/49924883,학력무관,"연봉 30,000,000원 ~ 35,010,000원",,,,부산 강서구 미음산단로8번길 93 (구랑동,2026-09-03,2026-09-09 06:58:00
https://www.jobkorea.co.kr/Recruit/GI_Read/49925290,학력무관,"연봉 60,000,000원 ~ 70,010,000원",,,,부산 남구 우암로 245 (우암동),2026-09-04,2026-09-09 06:58:01
https://www.jobkorea.co.kr/Recruit/GI_Read/49923794,학력무관,,,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-08-31,2026-09-09 06:58:01
https://www.jobkorea.co.kr/Recruit/GI_Read/49925678,학력무관,"연봉 60,000,000원 ~ 70,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-04,2026-09-09 06:58:02
https://www.jobkorea.co.kr/Recruit/GI_Read/49925707,학력무관,"연봉 60,000,000원 ~ 70,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-04,2026-09-09 06:58:02
https://www.jobkorea.co.kr/Recruit/GI_Read/49926026,고졸 이상,"연봉 33,000,000원 ~ 38,010,000원",,,,부산 해운대구 동백로 52 (우동),2026-09-04,2026-09-09 06:58:03
https://www.jobkorea.co.kr/Recruit/GI_Read/49926239,고졸 이상,"연봉 30,000,000원 ~ 35,010,000원",,,,부산 사하구 하신중앙로3번길 64 (장림동),2026-09-03,2026-09-09 06:58:04
https://www.jobkorea.co.kr/Recruit/GI_Read/49926118,대졸 이상,"연봉 40,000,000원 ~ 60,010,000원",,,,부산 해운대구 동백로 52 (우동),2026-09-04,2026-09-09 06:58:04
https://www.jobkorea.co.kr/Recruit/GI_Read/49926307,학력무관,"연봉 60,000,000원 ~ 70,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-04,2026-09-09 06:58:04
https://www.jobkorea.co.kr/Recruit/GI_Read/49926312,학력무관,"연봉 60,000,000원 ~ 70,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-04,2026-09-09 06:58:05
https://www.jobkorea.co.kr/Recruit/GI_Read/49926315,학력무관,"연봉 60,000,000원 ~ 70,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-04,2026-09-09 06:58:05
https://www.jobkorea.co.kr/Recruit/GI_Read/49927126,학력무관,"연봉 26,000,000원 ~ 26,010,000원",,,,부산 강서구 송정동,2026-09-04,2026-09-09 06:58:06
https://www.jobkorea.co.kr/Recruit/GI_Read/49927906,학력무관,,,,,부산 기장군 기장읍 시랑리,2026-09-04,2026-09-09 06:58:06
https://www.jobkorea.co.kr/Recruit/GI_Read/49927998,초대졸 이상,,,,,울산 남구 삼산로 37 (신정동),2026-09-04,2026-09-09 06:58:07
https://www.jobkorea.co.kr/Recruit/GI_Read/49928371,학력무관,"월급 5,000,000원 ~ 7,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-04,2026-09-09 06:58:07
https://www.jobkorea.co.kr/Recruit/GI_Read/49928373,학력무관,"월급 5,000,000원 ~ 7,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-04,2026-09-09 06:58:08
https://www.jobkorea.co.kr/Recruit/GI_Read/49928430,학력무관,"월급 5,000,000원 ~ 7,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-04,2026-09-09 06:58:08
https://www.jobkorea.co.kr/Recruit/GI_Read/49928431,학력무관,"월급 5,000,000원 ~ 7,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-04,2026-09-09 06:58:09
https://www.jobkorea.co.kr/Recruit/GI_Read/49928493,학력무관,"월급 5,000,000원 ~ 7,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-04,2026-09-09 06:58:09
https://www.jobkorea.co.kr/Recruit/GI_Read/49928495,학력무관,"월급 5,000,000원 ~ 7,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-04,2026-09-09 06:58:10
https://www.jobkorea.co.kr/Recruit/GI_Read/49922451,학력무관,,,,,부산광역시 기장군 장안읍 좌동길 40,2026-09-03,2026-09-09 06:58:10
https://www.jobkorea.co.kr/Recruit/GI_Read/49922697,학력무관,"월급 2,970,000원",,,,부산 영도구 해양로247번길 35 (동삼동),2026-09-04,2026-09-09 06:58:11
https://www.jobkorea.co.kr/Recruit/GI_Read/49923029,학력무관,,,,,부산 부산진구 중앙대로 694 (부전동,2026-09-04,2026-09-09 06:58:11
https://www.jobkorea.co.kr/Recruit/GI_Read/49924473,학력무관,"연봉 60,000,000원 ~ 70,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-04,2026-09-09 06:58:12
https://www.jobkorea.co.kr/Recruit/GI_Read/49924474,학력무관,"연봉 60,000,000원 ~ 70,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-04,2026-09-09 06:58:13
https://www.jobkorea.co.kr/Recruit/GI_Read/49924477,학력무관,"연봉 60,000,000원 ~ 70,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-04,2026-09-09 06:58:14
https://www.jobkorea.co.kr/Recruit/GI_Read/49920274,대학원(박사) 이상,"연봉 60,000,000원 ~ 60,010,000원",,,,부산 영도구 태종로 727 (동삼동,2026-08-24,2026-09-09 06:58:14
https://www.jobkorea.co.kr/Recruit/GI_Read/49942296,학력무관,"월급 5,000,000원 ~ 7,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-07,2026-09-09 06:58:15
https://www.jobkorea.co.kr/Recruit/GI_Read/49942295,학력무관,"월급 5,000,000원 ~ 7,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-07,2026-09-09 06:58:15
https://www.jobkorea.co.kr/Recruit/GI_Read/49920580,학력무관,"월급 5,000,000원 ~ 7,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-03,2026-09-09 06:58:16
https://www.jobkorea.co.kr/Recruit/GI_Read/49920581,학력무관,"월급 5,000,000원 ~ 7,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-03,2026-09-09 06:58:17
https://www.jobkorea.co.kr/Recruit/GI_Read/49920707,학력무관,,,,,부산 영도구 남항서로 52 (남항동3가),2026-09-03,2026-09-09 06:58:17
https://www.jobkorea.co.kr/Recruit/GI_Read/49921044,초대졸 이상,,,,,부산 수영구 민락수변로 251 (민락동),2026-09-03,2026-09-09 06:58:18
https://www.jobkorea.co.kr/Recruit/GI_Read/49920002,학력무관,"월급 2,310,000원",,,,부산 사하구 낙동대로457번길 5 (하단동,2026-09-03,2026-09-09 06:58:18
https://www.jobkorea.co.kr/Recruit/GI_Read/49919263,학력무관,"연봉 60,000,000원 ~ 70,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-03,2026-09-09 06:58:19
https://www.jobkorea.co.kr/Recruit/GI_Read/49919297,학력무관,"연봉 60,000,000원 ~ 70,010,000원",,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-03,2026-09-09 06:58:19
https://www.jobkorea.co.kr/Recruit/GI_Read/49914103,학력무관,,,,,부산 해운대구 중동1로19번길 24 (중동,2026-09-03,2026-09-09 06:58:20
https://www.jobkorea.co.kr/Recruit/GI_Read/49899685,학력무관,,,,,서울 강서구 공항대로 227 (마곡동,2026-09-01,2026-09-09 06:58:20
https://www.jobkorea.co.kr/Recruit/GI_Read/49912992,학력무관,"연봉 28,000,000원",,,,부산 부산진구 가야대로 488 (개금동),2026-09-02,2026-09-09 06:58:21
https://www.jobkorea.co.kr/Recruit/GI_Read/49914125,고졸 이상,"월급 4,800,000원 ~ 5,010,000원",,,,부산광역시 수영구 수영로 734,2026-09-03,2026-09-09 06:58:21
https://www.jobkorea.co.kr/Recruit/GI_Read/49915191,학력무관,"일급 1,006,000,000원",,,,부산 연제구 법원로32번길 10 (거제동,2026-09-03,2026-09-09 06:58:22
https://www.jobkorea.co.kr/Recruit/GI_Read/49915612,고졸 이상,,,,,부산 부산진구 중앙대로 748 (부전동,2026-09-03,2026-09-09 06:58:22
https://www.jobkorea.co.kr/Recruit/GI_Read/49911950,학력무관,"시급 103,200,000원",,,,부산 기장군 장안읍 오리산단2로 31 (오리),2026-09-02,2026-09-09 06:58:23
https://www.jobkorea.co.kr/Recruit/GI_Read/49907216,대학원(석사) 이상,,,,,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",2026-09-01,2026-09-09 06:58:24
https://www.jobkorea.co.kr/Recruit/GI_Read/49907223,학력무관,,,,,부산 서구 등대로 27 (암남동),2026-09-02,2026-09-09 06:58:24
