사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
점핏,링네트,Cisco 네트워크 필드 엔지니어(경력3~5),"기술지원,devops/시스템 엔지니어",3~5년,정규직,서울 구로구,"Router, Switch, Cisco, L2, L3, L4, L7, Network",2026-10-06,https://jumpit.saramin.co.kr/position/54966026,,2026-09-07 23:30:36
점핏,엘씨텍,H/W 경력사원 (경력5년↑),HW/임베디드,5~10년,정규직,경북 구미시,"Orcad, RF, PCB",2026-10-06,https://jumpit.saramin.co.kr/position/54966128,,2026-09-07 23:30:36
점핏,엘씨텍,H/W 경력사원 (경력10년↑),HW/임베디드,10~15년,정규직,경북 구미시,"Orcad, RF, PCB",2026-10-06,https://jumpit.saramin.co.kr/position/54966135,,2026-09-07 23:30:36
점핏,엘씨텍,S/W 경력사원 (경력5년↑),SW/솔루션,5~10년,정규직,경북 구미시,"C#, C++, SW",2026-10-06,https://jumpit.saramin.co.kr/position/54966137,,2026-09-07 23:30:36
점핏,엘씨텍,H/W 경력사원 (경력10년↑),HW/임베디드,10~15년,정규직,경북 구미시,"Orcad, RF, PCB",2026-10-06,https://jumpit.saramin.co.kr/position/54966142,,2026-09-07 23:30:36
점핏,링네트,Cisco 네트워크 필드 엔지니어(경력6~8),"기술지원,devops/시스템 엔지니어",6~8년,정규직,서울 구로구,"Router, Switch, Cisco, L2, L3, L4, L7, Network",2026-10-06,https://jumpit.saramin.co.kr/position/54966008,,2026-09-07 23:30:36
점핏,링네트,Cisco 네트워크 필드 엔지니어(경력12~15),"기술지원,devops/시스템 엔지니어",12~15년,정규직,서울 구로구,"Router, Switch, Cisco, L2, L3, L4, L7, Network",2026-10-06,https://jumpit.saramin.co.kr/position/54966035,,2026-09-07 23:30:36
점핏,링네트,Cisco 네트워크 필드 엔지니어(경력9~11),"기술지원,devops/시스템 엔지니어",9~11년,정규직,서울 구로구,"Router, Switch, Cisco, L2, L3, L4, L7, Network",2026-10-06,https://jumpit.saramin.co.kr/position/54966059,,2026-09-07 23:30:36
점핏,아이제라,AI 서비스 PM (가산),"개발 PM,인공지능/머신러닝",3~10년,정규직,서울 금천구,"Python, AI/인공지능, SW",2026-10-06,https://jumpit.saramin.co.kr/position/54963428,,2026-09-07 23:30:36
점핏,아이제라,AI 서비스 PM (오산),"개발 PM,인공지능/머신러닝",3~10년,정규직,경기 오산시,"Python, AI/인공지능, SW",2026-10-06,https://jumpit.saramin.co.kr/position/54963389,,2026-09-07 23:30:36
점핏,이랜텍,본사(동탄) 배터리팩 S/W개발자 경력,"SW/솔루션,HW/임베디드",1~5년,정규직,경기 화성시,".NET, C, C#, C++, HW, SW",2026-10-06,https://jumpit.saramin.co.kr/position/54965560,,2026-09-07 23:30:36
점핏,이랜텍,본사(동탄) 배터리팩 S/W개발자 신입,"SW/솔루션,HW/임베디드",경력무관,정규직,경기 화성시,".NET, C, C#, C++, HW, SW",2026-10-06,https://jumpit.saramin.co.kr/position/54965457,,2026-09-07 23:30:36
점핏,플라잎,Robot System Engineer,SW/솔루션,3~10년,정규직,경기 성남시 분당구,"C++, Linux, Python, ROS",2026-10-06,https://jumpit.saramin.co.kr/position/54964726,,2026-09-07 23:30:36
점핏,(주)애니캐스팅소프트웨어,주조해석 SW 솔버 개발자 신입 채용,"기술지원,인공지능/머신러닝,SW/솔루션",경력무관,정규직,서울 강서구,"C, C++, AI/인공지능",2026-10-06,https://jumpit.saramin.co.kr/position/54964063,,2026-09-07 23:30:36
점핏,(주)애니캐스팅소프트웨어,주조해석 SW 솔버 개발자 경력 채용,"기술지원,인공지능/머신러닝,SW/솔루션",1~5년,정규직,서울 강서구,"C, C++, AI/인공지능",2026-10-06,https://jumpit.saramin.co.kr/position/54962709,,2026-09-07 23:30:36
점핏,브레인즈컴퍼니,통합로그관리 SW 기술지원 엔지니어,기술지원,5~10년,정규직,서울 성동구,"Docker, Elasticsearch, ExpressJS, JavaScript, Kafka, Kubernetes, Linux, Node.js, Python, Redis",2026-09-10,https://jumpit.saramin.co.kr/position/54658443,,2026-09-07 23:30:36
점핏,드림디엔엠,인천 IDC운영 신입 채용,"정보보안 담당자,devops/시스템 엔지니어",경력무관,정규직,인천 서해구,Network,2026-09-25,https://jumpit.saramin.co.kr/position/54870719,,2026-09-07 23:30:37
점핏,드림디엔엠,인천 IDC운영 초급 채용,"정보보안 담당자,devops/시스템 엔지니어",1~2년,정규직,인천 서해구,Network,2026-10-02,https://jumpit.saramin.co.kr/position/54932300,,2026-09-07 23:30:37
점핏,블루텍,S/W 개발 경력 채용,"SW/솔루션,HW/임베디드",1~10년,정규직,대전 유성구,"C, C#, C++, Linux, FW, SW, Embedded Linux",2026-10-06,https://jumpit.saramin.co.kr/position/54962017,,2026-09-07 23:30:37
점핏,블루텍,S/W 개발 신입 채용,"SW/솔루션,HW/임베디드",경력무관,정규직,대전 유성구,"C, C#, C++, Linux, FW, SW, Embedded Linux",2026-10-06,https://jumpit.saramin.co.kr/position/54962056,,2026-09-07 23:30:37
점핏,블루텍,H/W 개발 신입 채용,HW/임베디드,경력무관,정규직,대전 유성구,"C, C++, Python, Embedded, Verilog, VHDL, MCU, Embedded Linux",2026-10-06,https://jumpit.saramin.co.kr/position/54962125,,2026-09-07 23:30:37
점핏,블루텍,H/W 개발 경력 채용,HW/임베디드,3~18년,정규직,대전 유성구,"C, C++, Python, Embedded, Verilog, VHDL, MCU, Embedded Linux",2026-10-06,https://jumpit.saramin.co.kr/position/54962352,,2026-09-07 23:30:37
점핏,더스윙,백엔드 개발자 (5-10년),서버/백엔드 개발자,5~10년,정규직,서울 종로구,"Kafka, Kotlin, Redis, Spring Framework, NoSql",2026-10-06,https://jumpit.saramin.co.kr/position/54961864,,2026-09-07 23:30:37
점핏,비스텔리젼스,Forward Deployed Engineer (FDE),"인공지능/머신러닝,빅데이터 엔지니어",3~15년,정규직,서울 서초구,"JavaScript, Python, TypeScript, SQL",2026-10-06,https://jumpit.saramin.co.kr/position/54962054,,2026-09-07 23:30:37
점핏,비스텔리젼스,Full Stack Engineer (FSE),"웹 풀스택 개발자,인공지능/머신러닝",3~15년,정규직,서울 서초구,"Django, Docker, Next.js, Python, React, REST API, NoSql, AI/인공지능, Etl, MES",2026-10-06,https://jumpit.saramin.co.kr/position/54962097,,2026-09-07 23:30:37
점핏,패스트레인,"정보보안 담당자(팀장, 팀원)",정보보안 담당자,5~15년,정규직,서울 강남구,"AWS CloudTrail, Confluence, ELK, Jira, Splunk, ISMS, AWS Config",2026-10-06,https://jumpit.saramin.co.kr/position/54962028,,2026-09-07 23:30:37
점핏,패스트레인,백엔드 개발자,서버/백엔드 개발자,7~13년,정규직,서울 강남구,"Docker, Java, Kafka, Kubernetes, MySQL, Spring, Hibernate, REST API",2026-10-06,https://jumpit.saramin.co.kr/position/54962013,,2026-09-07 23:30:37
점핏,원익로보틱스,로봇핸드 펌웨어 엔지니어,HW/임베디드,5~20년,정규직,경기 성남시 분당구,"C, C++, RTOS, MCU, ethernet",2026-10-06,https://jumpit.saramin.co.kr/position/54961794,,2026-09-07 23:30:37
점핏,원익로보틱스,로봇핸드 제어 엔지니어,devops/시스템 엔지니어,5~20년,정규직,경기 성남시 분당구,"C, C++, Python, ethernet",2026-10-06,https://jumpit.saramin.co.kr/position/54961789,,2026-09-07 23:30:37
점핏,원익로보틱스,ROS 기반 주행 SW 개발,SW/솔루션,8~20년,정규직,경기 안양시,"C, C++, Python, SW, ROS",2026-10-06,https://jumpit.saramin.co.kr/position/54961773,,2026-09-07 23:30:37
점핏,원익로보틱스,Application SW 개발,SW/솔루션,6~20년,정규직,경기 성남시 분당구,"C++, Java, JavaScript, SW, RTOS",2026-10-06,https://jumpit.saramin.co.kr/position/54961758,,2026-09-07 23:30:37
점핏,원익로보틱스,로봇핸드 AI 기술개발,인공지능/머신러닝,6~20년,정규직,경기 성남시 분당구,"C++, Linux, Python, PyTorch, TensorFlow, AI/인공지능, Robot Framework",2026-10-06,https://jumpit.saramin.co.kr/position/54961744,,2026-09-07 23:30:37
점핏,플래티어,[AI CX사업부문] 데이터 엔지니어,빅데이터 엔지니어,1~3년,정규직,서울 송파구,"Google BigQuery, MySQL, NumPy, Pandas, Python, SQL, Tableau, Matplotlib, Plotly.js, Amazon Quicksight",2026-10-06,https://jumpit.saramin.co.kr/position/54961317,,2026-09-07 23:30:38
점핏,칩스앤미디어,[대구] RTL 설계 엔지니어 (팀장급),HW/임베디드,13~20년,정규직,대구 동구,"HW, FW, SW, Verilog, Processing",2026-10-02,https://jumpit.saramin.co.kr/position/54930840,,2026-09-07 23:30:38
점핏,센트비,Backend Team Lead (Go/Java),"웹 풀스택 개발자,서버/백엔드 개발자",6~20년,정규직,서울 영등포구,"Confluence, Docker, Git, gRPC, Java, Jira, PostgreSQL, Redis, Spring Boot, Golang",2026-10-06,https://jumpit.saramin.co.kr/position/54957918,,2026-09-07 23:30:38
점핏,엔클로니,HW 개발자 채용 (경력 5년~15년),"devops/시스템 엔지니어,프론트엔드 개발자,HW/임베디드",5~15년,정규직,서울 구로구,"Confluence, Git, Jira, Orcad, FW, FPGA, Pads, VHDL, MCU, ethernet",2026-10-06,https://jumpit.saramin.co.kr/position/54959596,,2026-09-07 23:30:38
점핏,클로봇,SLAM(Mapping & Localization) 개발자,인공지능/머신러닝,2~8년,정규직,경기 성남시,"C++, Linux, Python, OpenCV, SW, ROS",2026-10-06,https://jumpit.saramin.co.kr/position/54958839,,2026-09-07 23:30:38
점핏,시선에이아이,얼굴인식 AI 연구원 (전문연구요원),,1~20년,정규직,서울 강남구,"Git, Python, PyTorch, Spring Framework, DeepLearning, AI/인공지능, Django REST framework, Robot Framework, Django REST framework JWT, Vision Helpdesk",2026-10-06,https://jumpit.saramin.co.kr/position/54958214,,2026-09-07 23:30:38
점핏,나무기술,클라우드/가상화 관리 시스템 백엔드 개발자,서버/백엔드 개발자,6~20년,정규직,서울 강서구,"Java, Python, AWS, NoSql, AZURE, vmware, K8S, OpenStack, FastAPI",2026-10-07,https://jumpit.saramin.co.kr/position/54956307,,2026-09-07 23:30:38
점핏,클라우드앤,소프트웨어 PM,SW/솔루션,8~10년,정규직,서울 금천구,"C#, Docker, Java, Jira, Spring, AWS, SQL, SW, DB",2026-10-06,https://jumpit.saramin.co.kr/position/54957105,,2026-09-07 23:30:38
점핏,미래컴퍼니,AP엔지니어 경력 채용,SW/솔루션,4~11년,정규직,경기 용인시 기흥구,"C, C++, Git, Linux, Python, Qt, Windows, Mfc, Embedded Linux",2026-10-06,https://jumpit.saramin.co.kr/position/54945856,,2026-09-07 23:30:38
점핏,디어유,SRE 포지션 (경력 3~10년),devops/시스템 엔지니어,3~10년,정규직,서울 강남구,"Docker, Kafka, Kubernetes, Linux, Redis, Windows, AWS",2026-10-06,https://jumpit.saramin.co.kr/position/54945468,,2026-09-07 23:30:38
점핏,리베코이앤씨,연구소 시험장비 제어ㆍ계측 엔지니어 모집 (LABVIEW),서버/백엔드 개발자,2~3년,정규직,경기 과천시,labview,2026-10-05,https://jumpit.saramin.co.kr/position/54940975,,2026-09-07 23:30:38
점핏,리베코이앤씨,연구소 구조해석 엔지니어 모집 (ABAQUS),서버/백엔드 개발자,1~20년,정규직,경기 과천시,ABAP,2026-10-05,https://jumpit.saramin.co.kr/position/54941019,,2026-09-07 23:30:38
점핏,포스로직,이미지 프로세싱 알고리즘 개발 신입,"인공지능/머신러닝,SW/솔루션",경력무관,정규직,경기 안양시 동안구,"C, C++, DeepLearning, MachineLearning, AI/인공지능, CUDA",2026-10-05,https://jumpit.saramin.co.kr/position/54945694,,2026-09-07 23:30:38
점핏,한국네트웍스,그룹사 SAP 시스템 운영(HR모듈),"SW/솔루션,서버/백엔드 개발자",5~15년,정규직,경기,"ABAP, SAP",2026-10-05,https://jumpit.saramin.co.kr/position/54941681,,2026-09-07 23:30:38
점핏,캠틱종합기술원,R&BD사업본부 피지컬 AI 기반 디지털 트윈 연구개발자,SW/솔루션,2~11년,정규직,전북 전주시,"C++, Python, Unity, Unreal Engine, TCP/IP, 3D Volume Rendering, Visual C++, ROS, Modulus, PLC",2026-10-05,https://jumpit.saramin.co.kr/position/54944649,,2026-09-07 23:30:38
점핏,네비웍스,AI 서비스 백엔드 개발자(경력),"인공지능/머신러닝,SW/솔루션,블록체인,빅데이터 엔지니어",3~10년,정규직,경기,"Linux, Python, PyTorch, TensorFlow, DeepLearning, AI/인공지능",2026-10-05,https://jumpit.saramin.co.kr/position/54945671,,2026-09-07 23:30:38
점핏,리베코이앤씨,연구소 시험장비 제어ㆍ계측 엔지니어 모집 (LABVIEW),서버/백엔드 개발자,2~3년,정규직,경기 과천시,labview,2026-10-05,https://jumpit.saramin.co.kr/position/54940975,,2026-09-07 23:30:39
점핏,셀틱스테크놀로지,Robot Controls Engineer,HW/임베디드,7~15년,정규직,경기 용인시 처인구,"C#, C++, Python, Embedded, RTOS",2026-10-05,https://jumpit.saramin.co.kr/position/54946427,,2026-09-07 23:30:39
