사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각,학력
커리어부산,한국골프캐디협회,대기업 골프장호텔 외식사업부(정규직)모집,"레저.스포츠, 외식.식음료.요리",신입,정규직,경기 전지역,,2026-09-08,https://job.career.co.kr/recruit/view/21975838,career:21975838,2026-09-08 13:51:09,학력무관
커리어부산,인카금융서비스(주),금융조직을 이끌 차세대 리더를 모집합니다.,금융.보험영업,경력무관,프리랜서,서울 전지역,,2026-11-06,https://job.career.co.kr/recruit/view/22117569,career:22117569,2026-09-08 13:51:09,학력무관
커리어부산,(주)굿앤피플컴퍼니,롯데홈쇼핑 택배 배송 기사 채용 공고,"유통.물류, 배송.운전.택배",경력무관,"정규직,","프리랜서, 계약직 대전 전지역",,2026-11-04,https://job.career.co.kr/recruit/view/22111783,career:22111783,2026-09-08 13:51:09,학력무관
커리어부산,(주)링크프라이스,[링크프라이스] 온라인 검색광고 마케터 채용(신입),"마케팅.브랜드, 웹기획.웹마케팅.PM","경력무관 (2,3년)↑",정규직,부산 동구,,상시채용,https://job.career.co.kr/recruit/view/22103185,career:22103185,2026-09-08 13:51:09,대졸
커리어부산,(주)링크프라이스,"[부산범일동] 온라인 검색광고 마케터 신입 채용(3,000+성과급)","마케팅.브랜드, 웹기획.웹마케팅.PM","경력무관 (2,3년)↑",정규직,부산 동구,,상시채용,https://job.career.co.kr/recruit/view/22103184,career:22103184,2026-09-08 13:51:09,대졸
커리어부산,(주)진보화물자동차,[의정부지역]화물운송직업에도 남다른 수준이 있습니다(고정급완제)5톤 기사모집,배송.운전.택배,경력무관,"정규직,",계약직 서울 전지역,,2026-10-28,https://job.career.co.kr/recruit/view/22097198,career:22097198,2026-09-08 13:51:09,학력무관
커리어부산,(주)진보화물자동차,500여명 기사님들의 신뢰 기업 [남양주 지역]화물 기사 모십니다/고정완제,배송.운전.택배,경력무관,"정규직,",계약직 서울 전지역,,2026-10-15,https://job.career.co.kr/recruit/view/22070497,career:22070497,2026-09-08 13:51:09,학력무관
커리어부산,(주)현대그린푸드,[현대그린푸드] 외식부분 홀서비스·판매 등 상시채용,"판매.매장관리, 외식.식음료.요리",경력 년수무관,정규직,서울 전지역,,상시채용,https://job.career.co.kr/recruit/view/22039271,career:22039271,2026-09-08 13:51:09,학력무관
커리어부산,엘앤피자동차코리아(주),[글로벌 자동차 부품사] CATIA 설계 엔지니어 경력 (부산),기계.자동차.조선.철강,경력 4년 (4년)↑,정규직,부산 사상구,,2026-09-19,https://job.career.co.kr/recruit/view/22007553,career:22007553,2026-09-08 13:51:09,대졸
커리어부산,주식회사 케이엔엔디앤씨,"[해운대구청 채용대행] 만세 365병원 ""경비원"" 모집",,경력무관,계약직,부산 중구,,상시채용,https://job.career.co.kr/recruit/view/22193473,career:22193473,2026-09-08 13:51:09,학력무관
커리어부산,주식회사아스타아이비에스,영도 HJ중공업 특수경비원 [경력무관],,경력무관,계약직,부산 영도구,,2026-09-11,https://job.career.co.kr/recruit/view/22193472,career:22193472,2026-09-08 13:51:09,고졸↑
커리어부산,(주)부모사랑재가센터,[ 수영구 광안동(망미역 인근) ] 재가요양보호사 모집,,경력무관,정규직,부산 수영구,,상시채용,https://job.career.co.kr/recruit/view/22193471,career:22193471,2026-09-08 13:51:09,학력무관
커리어부산,마리재가복지센터,[ 광안동 ] 재가요양보호사 모집,,경력무관,정규직,부산 수영구,,상시채용,https://job.career.co.kr/recruit/view/22193470,career:22193470,2026-09-08 13:51:09,학력무관
커리어부산,가안방문요양센터,[동삼동] 4등급 (85세) 여자어르신 주3일(09:00~12:00) 재가요양보호사 모집,,경력무관,정규직,부산 영도구,,상시채용,https://job.career.co.kr/recruit/view/22193469,career:22193469,2026-09-08 13:51:09,학력무관
커리어부산,휘림한방병원,[덕포동[ 휘림한방병원 조리사 모집,,경력무관,정규직,부산 사상구,,2026-11-06,https://job.career.co.kr/recruit/view/22193468,career:22193468,2026-09-08 13:51:09,학력무관
커리어부산,남부건업(주),아파트 미화원 [대신2차푸르지오],,경력무관,계약직,부산 서구,,상시채용,https://job.career.co.kr/recruit/view/22193467,career:22193467,2026-09-08 13:51:09,학력무관
커리어부산,백세재가노인복지센터,[초읍동] 요양보호사 선생님 모집 (3등급 여자어르신),,경력무관,정규직,부산 부산진구,,2026-09-21,https://job.career.co.kr/recruit/view/22193466,career:22193466,2026-09-08 13:51:09,학력무관
