통합키,사이트,원본공고ID,회사명,회사키,공고제목,직무,직무상세,직무키워드,담당업무,자격요건,우대사항,직종,직종코드,직종명,직종대분류코드,직종대분류,직종코드근거,업종,직급직책,근무요일,근무시작,근무종료,근무시간,급여형태,급여최소,급여최대,급여,채용인원,채용인원구분,모집인원원문,학력,경력구분,최소연차,고용형태,고용형태표준,알바여부,시도,시군구,지역원문,상세주소,기술스택,마감일,마감구분,원본_직무,원본_경력,원본_고용형태,원본_지역,원본_마감일,공고URL,외부원본ID,수집시각,부산판정근거
,잡코리아,49761434,㈜제니엘휴먼,제니엘휴먼,[급구] 아워글래스 롯데잠실/롯데수원센텀시티 뷰티카운셀러 경력직 채용,뷰티어드바이저,,,,,,,,,,,,,,,,,,연봉,2760,,"연봉 27,600,000원",,없음,,학력무관,경력,,정규직,정규직,,서울,송파구,서울 송파구,서울 송파구 올림픽로 240 (잠실동,,2026-09-10,기한,뷰티어드바이저,경력,정규직,서울 송파구,2026-09-10,https://www.jobkorea.co.kr/Recruit/GI_Read/49761434,,2026-09-07 15:35:05,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49766501,프리죤,프리죤,양산부산대학교병원 보안팀 [보안사원] 채용,"경비 보안, 보안, 사원, 보안사원",,,,,,,,,,,,,,,,,,월급,271,272,"월급 2,710,000원 ~ 2,720,000원",,없음,,학력무관,신입,0,계약직,계약직,,경남,양산시,경남 양산시,경남 양산시 물금읍 금오로 20 (범어리,,2026-09-11,기한,경비 보안,신입,계약직,경남 양산시,2026-09-11,https://www.jobkorea.co.kr/Recruit/GI_Read/49766501,,2026-09-07 15:38:51,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49931571,성주통도사휴게소,성주통도사휴게소,통도사(부산)휴게소 판매 식당 직원 모집,"휴게소 판매 식당 직원 모집, 판매, 직원",,,,,,,,,,,,,,,,,,월급,270,,"월급 2,700,000원",,없음,,학력무관,무관,0,정규직,정규직,,경남,양산시,경남 양산시,경남 양산시 하북면 경부고속도로 31-1 (순지리,,2026-09-12,기한,휴게소 판매 식당 직원 모집,경력무관,정규직,경남 양산시,2026-09-12,https://www.jobkorea.co.kr/Recruit/GI_Read/49931571,,2026-09-07 15:41:32,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49754737,채원오토모빌㈜,채원오토모빌,"[수입차정비] 부산, 울산 일반수리 테크니션 모집","수입차정비_부산, 울산 일반수리 테크니션 모집, 정비, 수리, 수입차정비",,,,,,,,,,,,,,,,,,월급,250,501,"월급 2,500,000원 ~ 5,010,000원",,없음,,학력무관,무관,0,정규직,정규직,,울산,울주군,울산 울주군,울산 울주군 서생면 온양로 581,,2026-09-09,기한,"수입차정비_부산, 울산 일반수리 테크니션 모집",경력무관,정규직,울산 울주군,2026-09-09,https://www.jobkorea.co.kr/Recruit/GI_Read/49754737,,2026-09-07 15:43:07,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49754827,채원오토모빌㈜,채원오토모빌,"[수입차정비] 부산, 울산 판금수리 기사 모집","수입차정비_부산, 울산 판금수리 기사 모집, 정비, 수리, 기사, 수입차정비",,,,,,,,,,,,,,,,,,월급,250,501,"월급 2,500,000원 ~ 5,010,000원",,없음,,학력무관,경력,,정규직,정규직,,울산,울주군,울산 울주군,울산 울주군 서생면 온양로 581,,2026-09-09,기한,"수입차정비_부산, 울산 판금수리 기사 모집",경력,정규직,울산 울주군,2026-09-09,https://www.jobkorea.co.kr/Recruit/GI_Read/49754827,,2026-09-07 15:43:13,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49745781,아이티더블유피피앤에프코리아㈜,아이티더블유피피앤에프코리아,[외국계] 부산신항 물류창고 현장직원 채용 - QC,"QC Engineer, 물류, 창고, 현장, 직원, 현장직원",,,,,,,,,,,,,,,,,,,,,,,없음,,대졸 이상,무관,0,계약직,계약직,,경남,창원시,경남 창원시,경남 창원시 진해구 신항10로 133 (남문동,,2026-09-09,기한,QC Engineer,경력무관,계약직,경남 창원시,2026-09-09,https://www.jobkorea.co.kr/Recruit/GI_Read/49745781,,2026-09-07 15:50:11,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49577230,㈜수담엔지니어링건축사사무소,수담엔지니어링건축사사무소,"부산지역 정비기반시설공사 감리 (관로, 포장 등 토목공사 감리)","감리, 정비, 포장, 토목, 포장 등 토목공사 감리",감리,,"관로, 포장 등 토목공사 감리","경력 경력무관 학력 학력무관 스킬 토목기사, 토목, 토목시공기술사, 특급기술자, 건설사업관리",토목기사 ㆍ토목시공기술사 ㆍ건설사업관리 특급기술자,,,,,,,건축·설비·환경,,주5일(월~금),08:00,16:00,주5일(월~금) 08:00 ~ 16:00,회사내규,,,회사 내규에 따름 (면접 후 결정),1,명시,1,,무관,0,계약직,계약직,,서울,강남구,서울 강남구,서울 강남구 광평로 280 (수서동) 로즈데일빌딩 1518호,,2026-09-12,기한,감리,경력무관,계약직,서울 강남구,2026-09-12,https://www.jobkorea.co.kr/Recruit/GI_Read/49577230,,2026-09-07 15:51:46,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49769289,㈜제이엘케이,제이엘케이,[제이엘케이] Key Account Manager 의료영업 채용(부산·경상지역),"Key Account Manager, 영업",,,,,,,,,,,,,,,,,,,,,,,없음,,초대졸 이상,경력,,계약직,계약직,,서울,강남구,서울 강남구,서울 강남구 테헤란로33길 5 (역삼동,,2026-09-11,기한,Key Account Manager,경력,계약직,서울 강남구,2026-09-11,https://www.jobkorea.co.kr/Recruit/GI_Read/49769289,,2026-09-07 15:54:57,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49748424,㈜더즐거운상상,더즐거운상상,[센텀마크호텔 양양] 예약실 담당 경력 채용,"예약실 담당, 호텔, 센텀마크호텔 양양",,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,경력,,정규직,정규직,,강원,양양군,강원도 양양군,강원도 양양군 양양읍 한고개길 9,,2026-09-09,기한,예약실 담당,경력,정규직,강원도 양양군,2026-09-09,https://www.jobkorea.co.kr/Recruit/GI_Read/49748424,,2026-09-07 15:57:49,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49748772,굿모닝아이텍,굿모닝아이텍,부산청 국도ITS 유지관리 현장팀 팀원 채용(영덕팀),"국도ITS 유지관리, 현장",,,,,,,,,,,,,,,,,,,,,,,없음,,고졸 이상,경력,,계약직,계약직,,경북,영덕군,경북 영덕군,경북 영덕군 영덕읍 덕곡2길 23-2,,2026-09-09,기한,국도ITS 유지관리,신입·경력,계약직,경북 영덕군,2026-09-09,https://www.jobkorea.co.kr/Recruit/GI_Read/49748772,,2026-09-07 15:58:08,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49556631,㈜휴머니스트,휴머니스트,[NESPRESSO] 네슬레코리아 네스프레소 서울/경기/청주/부산 정규직/계약직,네슬레코리아 매장관리 및 판매사원,,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,경력,,"정규직, 계약직, 파트타임","알바, 계약직, 정규직",,서울,서초구,서울 서초구,서울 서초구 신반포로 176 (반포동,,2026-09-08,기한,네슬레코리아 매장관리 및 판매사원,신입·경력,"정규직, 계약직, 파트타임",서울 서초구,2026-09-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49556631,,2026-09-07 16:02:33,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49557043,㈜휴머니스트,휴머니스트,[D&G] 명품 브랜드 돌체앤가바나 서울/대전/광주/부산 판매사원 모집,"돌체앤가바나코리아 매장관리 및 판매사원, 판매, 사원, 판매사원",,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,무관,0,정규직,정규직,,서울,중구,서울 중구,서울 중구 남대문로 81 (소공동,,2026-09-08,기한,돌체앤가바나코리아 매장관리 및 판매사원,경력무관,정규직,서울 중구,2026-09-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49557043,,2026-09-07 16:02:38,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49557078,㈜휴머니스트,휴머니스트,[JIMMY CHOO] 명품 지미추 코리아 서울/경기/부산 지역 매장 판매사원 모집,"지미추 코리아 매장관리 판매사원, 판매, 사원, 판매사원, 매장",,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,무관,0,"정규직, 계약직","계약직, 정규직",,서울,서초구,서울 서초구,서울 서초구 신반포로 176 (반포동,,2026-09-08,기한,지미추 코리아 매장관리 판매사원,경력무관,"정규직, 계약직",서울 서초구,2026-09-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49557078,,2026-09-07 16:02:39,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49771450,㈜리크루트재팬,리크루트재팬,[전액국비] 2026 일본 호텔 취업 부산 연수 과정 03기생 모집,"관광호텔, 호텔",,,,,,,,,,,,,,,,,,연봉,2800,4501,"연봉 28,000,000원 ~ 45,010,000원",,없음,,초대졸 이상,무관,0,인턴,인턴,,해외,일본전국,일본전국,일본전국,,2026-09-11,기한,관광호텔,경력무관,인턴,일본전국,2026-09-11,https://www.jobkorea.co.kr/Recruit/GI_Read/49771450,,2026-09-07 16:06:51,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49696854,군위(부산)주유소,군위주유소,군위(부산)주유소 고속도로 주유소 총무 모집,"고속도로주유소 총무, 총무",,,,,,,,,,,,,,,,,,연봉,3800,4001,"연봉 38,000,000원 ~ 40,010,000원",,없음,,학력무관,무관,0,정규직,정규직,,대구,군위군,대구 군위군,대구 군위군 군위읍 경북대로 4084 (오곡리,,2026-09-10,기한,고속도로주유소 총무,경력무관,정규직,대구 군위군,2026-09-10,https://www.jobkorea.co.kr/Recruit/GI_Read/49696854,,2026-09-07 16:11:04,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49728509,골드홈공업㈜,골드홈공업,"부산지사,전남광주지사 골드홈 영업이사 모집입니다","경남지역, 전남지역 전원주택 영업직원 모집입니다, 영업직, 영업직원, 영업","경남지역,전남지역 전원주택 영업직원 모집입니다",,및 우대사항 인원 부산지역 주택영업,경력 신입·경력 학력 학력무관,부산지역 주택영업,,,,,,,건설·시공·토목·조경,,협의,09:00,18:00,협의가능 09:00 ~ 18:00,회사내규,,,회사 내규에 따름 (면접 후 결정),10,명시,10,,경력,,계약직,계약직,,경기,광주시,경기 광주시,경기 광주시 곤지암읍 신만로58번길 29-21 (수양리) 골드홈,,2026-09-10,기한,"경남지역,전남지역 전원주택 영업직원 모집입니다",신입·경력,계약직,경기 광주시,2026-09-10,https://www.jobkorea.co.kr/Recruit/GI_Read/49728509,,2026-09-07 16:11:07,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49884534,파란손해사정㈜,파란손해사정,"파란손해사정 대인,재물,대물 조사인력(서울,천안,대전,광주,대구,부산)","1종 조사직, 인력",,,,,,,,,,,,,,,,,,,,,,,없음,,초대졸 이상,무관,0,정규직,정규직,,서울,영등포구,서울 영등포구,서울 영등포구 영등포로 33 (양평동2가,,2026-09-07,기한,1종 조사직,경력무관,정규직,서울 영등포구,2026-09-07,https://www.jobkorea.co.kr/Recruit/GI_Read/49884534,,2026-09-07 16:11:18,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49896986,(재)우체국물류지원단,우체국물류지원단,부산지사 진주사업소 추석 특별소통 단기 기간제(운전직) 채용,"운전직, 운전",,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,경력,,계약직,계약직,,경남,진주시,경상남도 진주시,경상남도 진주시 금산면 중천리,,2026-09-07,기한,운전직,신입·경력,계약직,경상남도 진주시,2026-09-07,https://www.jobkorea.co.kr/Recruit/GI_Read/49896986,,2026-09-07 16:11:21,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49560750,에이스휴먼파워㈜,에이스휴먼파워,[연3400만/제주/부산] 헤트라스 디퓨저 매장 직원 채용/외국어 가능자 우대,"헤트라스 매장 직원, 직원, 매장",,,,,,,,,,,,,,,,,,,,,,,없음,,고졸 이상,무관,0,"정규직, 계약직","계약직, 정규직",,제주,제주시,제주 제주시,제주 제주시 신광로 22 (연동),,2026-09-08,기한,헤트라스 매장 직원,경력무관,"정규직, 계약직",제주 제주시,2026-09-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49560750,,2026-09-07 16:13:10,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49750882,㈜유안에이치알,유안에이치알,한진부산컨테이너터미널 ECO/게이트 직원모집,"온독업무지원, 컨테이너 반출입, 실 관리, 직원",,,,,,,,,,,,,,,,,,월급,300,311,"월급 3,000,000원 ~ 3,110,000원",,없음,,학력무관,무관,0,계약직,계약직,,경남,창원시,경남 창원시,경남 창원시 진해구 신항로 433 (안골동),,2026-09-09,기한,"온독업무지원 , 컨테이너 반출입,실 관리",경력무관,계약직,경남 창원시,2026-09-09,https://www.jobkorea.co.kr/Recruit/GI_Read/49750882,,2026-09-07 16:15:35,제목엔 부산이나 근무지주소가 타지역
