회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,수집시각
리딩잡 주식회사,[송탄농협 하나로마트]#추석단기#0917~0923#선착순마감#12.5,"매장관리·판매, 유통점·마트, 농수산·청과·축산",1주일~1개월,"일급 125,000원",경기 평택시 서정동,,상시모집,https://www.albamon.com/jobs/detail/118884819,2026-09-07 15:29:46
리딩잡 주식회사,[일동농협 하나로마트]#명절단기알바(정육)#일급13만#9.16-24#선착,"매장관리·판매, 유통점·마트, 농수산·청과·축산",6개월~1년,"일급 130,000원",경기 포천시 일동면,,상시모집,https://www.albamon.com/jobs/detail/119031251,2026-09-07 15:29:46
"워크365, 주간, 청라알바, 교과서파트",[당일지급/출근셔틀]교과서파트/꿀알바추천/주간8시/초보장기환영,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",하루(1일),"일급 144,700원",인천 미추홀구,,상시모집,https://www.albamon.com/jobs/detail/119020953,2026-09-07 15:29:46
하역업무/안전화필수/바로출근가능/자차환영,저온)하역업무#빨리끝나면쉬다가퇴근#안전화필수#자차출퇴근환영,"상하차·소화물 분류, 물류피킹·포장·전산, 생산·건설·노무 기타",3개월~6개월,"일급 130,000원",경기 평택시 합정동,,상시모집,https://www.albamon.com/jobs/detail/119045286,2026-09-07 15:29:46
마스타자동차,[대규모채용/주5일] 자동차 긴급출동 사고접수 인바운드 상담사,"사무보조, 고객상담·인바운드, 콜센터관리·모니터링",1년이상,"월급 2,300,000원",서울 서초구 반포동,,2026-09-16,https://www.albamon.com/jobs/detail/119034757,2026-09-07 15:29:46
일12만원(잔업없음).1일.지게차.일반,(화요일/13시조) #당일지급# 신둔 식자재물류 (화요일) 1일단기,"입출고·창고관리, 물류피킹·포장·전산, 지게차운전",하루(1일),"일급 120,000원",경기 이천시 증포동,,상시모집,https://www.albamon.com/jobs/detail/119018200,2026-09-07 15:29:46
노브랜드버거 이마트울산점,★노브랜드버거 이마트울산점★ 함께 성장할 분 구합니다(매니저),"서빙, 일반음식점, 패스트푸드점",6개월~1년,"시급 12,000원",울산 북구 연암동,,상시모집,https://www.albamon.com/jobs/detail/118969649,2026-09-07 15:29:46
컴포즈커피 왕십리텐즈힐점,컴포즈커피 화수 마감 알바 모집,"바리스타, 커피전문점, 캐셔·카운터",6개월~1년,"시급 10,320원",서울 성동구 상왕십리동,,2026-09-15,https://www.albamon.com/jobs/detail/119045284,2026-09-07 15:29:46
No-Brand가평시장점,노브랜드 가평잣고을시장점 STAFF 모집,"매장관리·판매, 캐셔·카운터, 유통점·마트",3개월~6개월,"시급 11,500원",경기 가평군,,상시모집,https://www.albamon.com/jobs/detail/118972137,2026-09-07 15:29:46
인천석남,롯데리아 오전 오후 아르바이트생 모집,"주방보조·설거지, 패스트푸드점, 매장관리·판매",1년이상,"시급 10,320원",인천 서해구 석남동,,2026-09-15,https://www.albamon.com/jobs/detail/118779255,2026-09-07 15:29:46
투썸플레이스 서현로데오점,"투썸플레이스 직영 서현로데오점 평일,주말 마감 스탭 구인","바리스타, 커피전문점, 아이스크림·디저트",6개월~1년,"시급 10,400원",경기 성남시 분당구 구미1동,,상시모집,https://www.albamon.com/jobs/detail/118787809,2026-09-07 15:29:46
노브랜드버거 안성공도점,노브랜드버거 안성공도점에서 함께 근무할 주말 파트너 구합니다,패스트푸드점,3개월~6개월,"시급 10,320원",경기 안성시 공도읍,,상시모집,https://www.albamon.com/jobs/detail/119018199,2026-09-07 15:29:46
컴포즈커피 목동모세미점,목동 모세미점에서함께할 컴포즈 경력매니져 구인,"바리스타, 커피전문점, 캐셔·카운터",6개월~1년,"월급 2,200,000원",서울 양천구 목동,,상시모집,https://www.albamon.com/jobs/detail/118862937,2026-09-07 15:29:46
마루가메우동 잠실롯데월드몰점,"[시급 11,500원+특별수당 별도지급] 마루가메 우동 MATE 채용","주방보조·설거지, 일반음식점, 매장관리·판매",3개월~6개월,"시급 11,500원",서울 송파구,,상시모집,https://www.albamon.com/jobs/detail/118862936,2026-09-07 15:29:46
르엘캐슬갤러리점,[엔제리너스 르엘캐슬갤러리점] 요일무관 마감타임 직원 구합니다!,"바리스타, 커피전문점, 매장관리·판매",6개월~1년,"시급 10,320원",서울 광진구 군자동,,상시모집,https://www.albamon.com/jobs/detail/119039136,2026-09-07 15:29:46
투썸플레이스 CJENM커머스부문점,[직영점] 투썸플레이스 CJENM커머스부문점 평일 마감 STAFF 모집,"바리스타, 커피전문점, 아이스크림·디저트",3개월~6개월,"시급 10,400원",서울 관악구,,상시모집,https://www.albamon.com/jobs/detail/118810808,2026-09-07 15:29:46
